,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
43164,DLI1,F01700003,真空吸引瓶,1.0,1,True,2022-01-07,,
43165,DLI1,F01700003,真空吸引瓶,6.0,2,True,2022-01-12,,
43167,DLI1,F01700003,真空吸引瓶,4.0,3,True,2022-01-21,,
43168,DLI1,F01700003,真空吸引瓶,1.0,4,True,2022-01-25,,
43170,DLI1,F01700003,真空吸引瓶,3.0,5,False,2022-02-03,,
43172,DLI1,F01700003,真空吸引瓶,5.0,6,False,2022-02-13,,
43173,DLI1,F01700003,真空吸引瓶,1.0,7,True,2022-02-14,,
43174,DLI1,F01700003,真空吸引瓶,2.0,8,False,2022-02-27,,
43164,DLI1,F01700003,真空吸引瓶,0.0,9,True,2022-01-07,202201.0,T-不計價
43176,DLI1,F01700003,真空吸引瓶,2.0,10,True,2022-03-10,,
43164,DLI1,F01700003,真空吸引瓶,0.0,11,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,12,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,13,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,14,True,2022-01-07,202201.0,T-不計價
43177,DLI1,F01700003,真空吸引瓶,1.0,15,True,2022-04-11,,
43181,DLI1,F01700003,真空吸引瓶,5.0,16,True,2022-04-21,,
43183,DLI1,F01700003,真空吸引瓶,3.0,17,True,2022-04-29,,
43164,DLI1,F01700003,真空吸引瓶,0.0,18,True,2022-01-07,202201.0,T-不計價
43184,DLI1,F01700003,真空吸引瓶,2.0,19,True,2022-05-09,,
43186,DLI1,F01700003,真空吸引瓶,4.0,20,False,2022-05-22,,
43187,DLI1,F01700003,真空吸引瓶,2.0,21,True,2022-05-23,,
43164,DLI1,F01700003,真空吸引瓶,0.0,22,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,23,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,24,True,2022-01-07,202201.0,T-不計價
43188,DLI1,F01700003,真空吸引瓶,1.0,25,True,2022-06-20,,
43164,DLI1,F01700003,真空吸引瓶,0.0,26,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,27,True,2022-01-07,202201.0,T-不計價
43190,DLI1,F01700003,真空吸引瓶,2.0,28,True,2022-07-13,,
43191,DLI1,F01700003,真空吸引瓶,4.0,29,True,2022-07-22,,
43192,DLI1,F01700003,真空吸引瓶,3.0,30,True,2022-07-27,,
43195,DLI1,F01700003,真空吸引瓶,5.0,31,True,2022-08-04,,
43164,DLI1,F01700003,真空吸引瓶,0.0,32,True,2022-01-07,202201.0,T-不計價
43198,DLI1,F01700003,真空吸引瓶,6.0,33,True,2022-08-18,,
43199,DLI1,F01700003,真空吸引瓶,1.0,34,False,2022-08-27,,
43203,DLI1,F01700003,真空吸引瓶,5.0,35,True,2022-09-02,,
43205,DLI1,F01700003,真空吸引瓶,3.0,36,True,2022-09-05,,
43206,DLI1,F01700003,真空吸引瓶,2.0,37,True,2022-09-14,,
43164,DLI1,F01700003,真空吸引瓶,0.0,38,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,39,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,40,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,41,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,42,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,43,True,2022-01-07,202201.0,T-不計價
43164,DLI1,F01700003,真空吸引瓶,0.0,44,True,2022-01-07,202201.0,T-不計價
43208,DLI1,F01700003,真空吸引瓶,4.0,45,True,2022-11-11,,
43164,DLI1,F01700003,真空吸引瓶,0.0,46,True,2022-01-07,202201.0,T-不計價
43211,DLI1,F01700003,真空吸引瓶,2.0,47,True,2022-11-24,,
43212,DLI1,F01700003,真空吸引瓶,2.0,48,True,2022-12-01,,
43213,DLI1,F01700003,真空吸引瓶,2.0,49,True,2022-12-06,,
43164,DLI1,F01700003,真空吸引瓶,0.0,50,True,2022-01-07,202201.0,T-不計價
43214,DLI1,F01700003,真空吸引瓶,1.0,51,True,2022-12-23,,
43215,DLI1,F01700003,真空吸引瓶,1.0,52,True,2022-12-30,,
