,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
43219,DLI1,F36005006,單一無菌引流袋 500cc,2.0,1,False,2022-01-09,,
43220,DLI1,F36005006,單一無菌引流袋 500cc,1.0,2,True,2022-01-13,,
43223,DLI1,F36005006,單一無菌引流袋 500cc,3.0,3,True,2022-01-21,,
43224,DLI1,F36005006,單一無菌引流袋 500cc,1.0,4,True,2022-01-26,,
43226,DLI1,F36005006,單一無菌引流袋 500cc,2.0,5,False,2022-02-02,,
43230,DLI1,F36005006,單一無菌引流袋 500cc,6.0,6,False,2022-02-13,,
43233,DLI1,F36005006,單一無菌引流袋 500cc,3.0,7,True,2022-02-18,,
43235,DLI1,F36005006,單一無菌引流袋 500cc,2.0,8,True,2022-02-24,,
43237,DLI1,F36005006,單一無菌引流袋 500cc,2.0,9,False,2022-03-06,,
43238,DLI1,F36005006,單一無菌引流袋 500cc,1.0,10,True,2022-03-07,,
43239,DLI1,F36005006,單一無菌引流袋 500cc,1.0,11,True,2022-03-16,,
43241,DLI1,F36005006,單一無菌引流袋 500cc,2.0,12,True,2022-03-25,,
43243,DLI1,F36005006,單一無菌引流袋 500cc,2.0,13,False,2022-04-03,,
43244,DLI1,F36005006,單一無菌引流袋 500cc,1.0,14,False,2022-04-09,,
43247,DLI1,F36005006,單一無菌引流袋 500cc,4.0,15,False,2022-04-16,,
43248,DLI1,F36005006,單一無菌引流袋 500cc,1.0,16,True,2022-04-18,,
43250,DLI1,F36005006,單一無菌引流袋 500cc,2.0,17,False,2022-04-30,,
43254,DLI1,F36005006,單一無菌引流袋 500cc,4.0,18,True,2022-05-06,,
43257,DLI1,F36005006,單一無菌引流袋 500cc,3.0,19,False,2022-05-15,,
43262,DLI1,F36005006,單一無菌引流袋 500cc,5.0,20,False,2022-05-21,,
43265,DLI1,F36005006,單一無菌引流袋 500cc,3.0,21,False,2022-05-28,,
43266,DLI1,F36005006,單一無菌引流袋 500cc,1.0,22,True,2022-05-31,,
43269,DLI1,F36005006,單一無菌引流袋 500cc,3.0,23,False,2022-06-12,,
43272,DLI1,F36005006,單一無菌引流袋 500cc,3.0,24,False,2022-06-19,,
43273,DLI1,F36005006,單一無菌引流袋 500cc,1.0,25,False,2022-06-25,,
43276,DLI1,F36005006,單一無菌引流袋 500cc,3.0,26,True,2022-06-30,,
43277,DLI1,F36005006,單一無菌引流袋 500cc,1.0,27,True,2022-07-06,,
43279,DLI1,F36005006,單一無菌引流袋 500cc,2.0,28,False,2022-07-17,,
43282,DLI1,F36005006,單一無菌引流袋 500cc,3.0,29,False,2022-07-23,,
43284,DLI1,F36005006,單一無菌引流袋 500cc,2.0,30,False,2022-07-31,,
43287,DLI1,F36005006,單一無菌引流袋 500cc,3.0,31,False,2022-08-07,,
43290,DLI1,F36005006,單一無菌引流袋 500cc,3.0,32,False,2022-08-14,,
43291,DLI1,F36005006,單一無菌引流袋 500cc,1.0,33,True,2022-08-17,,
43292,DLI1,F36005006,單一無菌引流袋 500cc,1.0,34,True,2022-08-24,,
43294,DLI1,F36005006,單一無菌引流袋 500cc,2.0,35,True,2022-08-29,,
43296,DLI1,F36005006,單一無菌引流袋 500cc,2.0,36,True,2022-09-08,,
43216,DLI1,F36005006,單一無菌引流袋 500cc,0.0,37,False,2022-01-01,202201.0,T-不計價
43297,DLI1,F36005006,單一無菌引流袋 500cc,1.0,38,True,2022-09-21,,
43298,DLI1,F36005006,單一無菌引流袋 500cc,1.0,39,True,2022-09-28,,
43299,DLI1,F36005006,單一無菌引流袋 500cc,1.0,40,True,2022-10-09,,
43301,DLI1,F36005006,單一無菌引流袋 500cc,2.0,41,False,2022-10-16,,
43304,DLI1,F36005006,單一無菌引流袋 500cc,3.0,42,False,2022-10-23,,
43309,DLI1,F36005006,單一無菌引流袋 500cc,5.0,43,False,2022-10-30,,
43314,DLI1,F36005006,單一無菌引流袋 500cc,5.0,44,False,2022-11-06,,
43316,DLI1,F36005006,單一無菌引流袋 500cc,2.0,45,True,2022-11-10,,
43320,DLI1,F36005006,單一無菌引流袋 500cc,4.0,46,False,2022-11-20,,
43323,DLI1,F36005006,單一無菌引流袋 500cc,3.0,47,False,2022-11-26,,
43325,DLI1,F36005006,單一無菌引流袋 500cc,2.0,48,False,2022-12-04,,
43327,DLI1,F36005006,單一無菌引流袋 500cc,2.0,49,False,2022-12-10,,
43334,DLI1,F36005006,單一無菌引流袋 500cc,7.0,50,False,2022-12-18,,
43335,DLI1,F36005006,單一無菌引流袋 500cc,1.0,51,True,2022-12-22,,
43338,DLI1,F36005006,單一無菌引流袋 500cc,5.0,52,True,2022-12-30,,
