,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,1
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,2
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,3
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,4
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,5
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,6
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,7
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,8
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,9
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,10
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,11
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,12
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,13
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,14
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,15
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,16
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,17
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,18
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,19
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,20
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,21
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,22
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,23
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,24
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,25
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,26
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,27
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,28
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,29
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,30
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,31
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,32
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,33
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,34
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,35
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,36
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,37
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,38
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,39
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,40
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,41
51274,DLI1,I17191609,電刀導電片,1.0,2022-10-18,,,True,42
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,43
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,44
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,45
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,46
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,47
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,48
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,49
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,50
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,51
51273,DLI1,I17191609,電刀導電片,0.0,2022-10-18,202210.0,T-不計價,True,52
