,庫房,料號,品名,數量,週,工作日,帳務日期
51281,DLI1,J00202019,勤達豪華型尿袋 (滅菌),5.0,1,False,2022-01-09
51289,DLI1,J00202019,勤達豪華型尿袋 (滅菌),8.0,2,False,2022-01-16
51296,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,3,False,2022-01-23
51304,DLI1,J00202019,勤達豪華型尿袋 (滅菌),8.0,4,True,2022-01-29
51310,DLI1,J00202019,勤達豪華型尿袋 (滅菌),6.0,5,False,2022-02-06
51318,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,6,False,2022-02-13
51322,DLI1,J00202019,勤達豪華型尿袋 (滅菌),4.0,7,True,2022-02-17
51332,DLI1,J00202019,勤達豪華型尿袋 (滅菌),10.0,8,False,2022-02-27
51340,DLI1,J00202019,勤達豪華型尿袋 (滅菌),8.0,9,False,2022-03-06
51349,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,10,False,2022-03-13
51354,DLI1,J00202019,勤達豪華型尿袋 (滅菌),6.0,11,False,2022-03-19
51360,DLI1,J00202019,勤達豪華型尿袋 (滅菌),6.0,12,False,2022-03-27
51367,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,13,False,2022-04-03
51371,DLI1,J00202019,勤達豪華型尿袋 (滅菌),4.0,14,False,2022-04-09
51378,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,15,True,2022-04-15
51387,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,16,True,2022-04-24
51393,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,17,False,2022-05-01
51401,DLI1,J00202019,勤達豪華型尿袋 (滅菌),8.0,18,True,2022-05-07
51412,DLI1,J00202019,勤達豪華型尿袋 (滅菌),11.0,19,False,2022-05-15
51423,DLI1,J00202019,勤達豪華型尿袋 (滅菌),11.0,20,False,2022-05-22
51428,DLI1,J00202019,勤達豪華型尿袋 (滅菌),5.0,21,False,2022-05-29
51435,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,22,True,2022-06-01
51443,DLI1,J00202019,勤達豪華型尿袋 (滅菌),8.0,23,False,2022-06-12
51451,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,24,True,2022-06-17
51460,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,25,False,2022-06-26
51469,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,26,False,2022-07-03
51476,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,27,True,2022-07-08
51485,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,28,False,2022-07-17
51491,DLI1,J00202019,勤達豪華型尿袋 (滅菌),8.0,29,False,2022-07-24
51497,DLI1,J00202019,勤達豪華型尿袋 (滅菌),6.0,30,False,2022-07-31
51504,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,31,False,2022-08-06
51508,DLI1,J00202019,勤達豪華型尿袋 (滅菌),4.0,32,True,2022-08-09
51516,DLI1,J00202019,勤達豪華型尿袋 (滅菌),8.0,33,False,2022-08-21
51521,DLI1,J00202019,勤達豪華型尿袋 (滅菌),5.0,34,False,2022-08-28
51526,DLI1,J00202019,勤達豪華型尿袋 (滅菌),5.0,35,False,2022-09-04
51535,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,36,False,2022-09-10
51541,DLI1,J00202019,勤達豪華型尿袋 (滅菌),6.0,37,False,2022-09-18
51545,DLI1,J00202019,勤達豪華型尿袋 (滅菌),4.0,38,True,2022-09-23
51553,DLI1,J00202019,勤達豪華型尿袋 (滅菌),8.0,39,False,2022-10-02
51560,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,40,True,2022-10-09
51564,DLI1,J00202019,勤達豪華型尿袋 (滅菌),4.0,41,False,2022-10-16
51567,DLI1,J00202019,勤達豪華型尿袋 (滅菌),5.0,42,True,2022-10-21
51574,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,43,True,2022-10-28
51583,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,44,True,2022-11-04
51592,DLI1,J00202019,勤達豪華型尿袋 (滅菌),9.0,45,False,2022-11-13
51599,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,46,False,2022-11-20
51604,DLI1,J00202019,勤達豪華型尿袋 (滅菌),5.0,47,False,2022-11-26
51611,DLI1,J00202019,勤達豪華型尿袋 (滅菌),7.0,48,True,2022-12-02
51621,DLI1,J00202019,勤達豪華型尿袋 (滅菌),10.0,49,False,2022-12-11
51625,DLI1,J00202019,勤達豪華型尿袋 (滅菌),4.0,50,True,2022-12-15
51631,DLI1,J00202019,勤達豪華型尿袋 (滅菌),6.0,51,False,2022-12-25
51641,DLI1,J00202019,勤達豪華型尿袋 (滅菌),11.0,52,True,2022-12-30
