,庫房,料號,品名,數量,週,工作日,帳務日期
51697,DLI1,K80004044,Push Button Blood Collection,6.0,1,False,2022-01-08
51702,DLI1,K80004044,Push Button Blood Collection,7.0,2,False,2022-01-16
51711,DLI1,K80004044,Push Button Blood Collection,15.0,3,False,2022-01-23
51716,DLI1,K80004044,Push Button Blood Collection,7.0,4,True,2022-01-30
51720,DLI1,K80004044,Push Button Blood Collection,6.0,5,False,2022-02-05
51721,DLI1,K80004044,Push Button Blood Collection,1.0,6,False,2022-02-12
51724,DLI1,K80004044,Push Button Blood Collection,3.0,7,True,2022-02-16
51727,DLI1,K80004044,Push Button Blood Collection,5.0,8,False,2022-02-27
51730,DLI1,K80004044,Push Button Blood Collection,4.0,9,False,2022-03-05
51731,DLI1,K80004044,Push Button Blood Collection,3.0,10,False,2022-03-13
51737,DLI1,K80004044,Push Button Blood Collection,8.0,11,False,2022-03-20
51740,DLI1,K80004044,Push Button Blood Collection,6.0,12,False,2022-03-27
51741,DLI1,K80004044,Push Button Blood Collection,2.0,13,True,2022-04-02
51745,DLI1,K80004044,Push Button Blood Collection,8.0,14,False,2022-04-10
51750,DLI1,K80004044,Push Button Blood Collection,10.0,15,False,2022-04-16
51753,DLI1,K80004044,Push Button Blood Collection,5.0,16,False,2022-04-23
51758,DLI1,K80004044,Push Button Blood Collection,7.0,17,False,2022-05-01
51763,DLI1,K80004044,Push Button Blood Collection,10.0,18,False,2022-05-08
51765,DLI1,K80004044,Push Button Blood Collection,2.0,19,False,2022-05-14
51768,DLI1,K80004044,Push Button Blood Collection,9.0,20,True,2022-05-20
51775,DLI1,K80004044,Push Button Blood Collection,14.0,21,False,2022-05-29
51778,DLI1,K80004044,Push Button Blood Collection,5.0,22,False,2022-06-05
51781,DLI1,K80004044,Push Button Blood Collection,5.0,23,False,2022-06-12
51785,DLI1,K80004044,Push Button Blood Collection,5.0,24,False,2022-06-19
51787,DLI1,K80004044,Push Button Blood Collection,3.0,25,True,2022-06-22
51790,DLI1,K80004044,Push Button Blood Collection,4.0,26,True,2022-06-30
51794,DLI1,K80004044,Push Button Blood Collection,9.0,27,False,2022-07-10
51799,DLI1,K80004044,Push Button Blood Collection,7.0,28,True,2022-07-15
51806,DLI1,K80004044,Push Button Blood Collection,9.0,29,False,2022-07-24
51813,DLI1,K80004044,Push Button Blood Collection,15.0,30,False,2022-07-31
51814,DLI1,K80004044,Push Button Blood Collection,1.0,31,True,2022-08-01
51817,DLI1,K80004044,Push Button Blood Collection,5.0,32,False,2022-08-14
51822,DLI1,K80004044,Push Button Blood Collection,9.0,33,False,2022-08-21
51828,DLI1,K80004044,Push Button Blood Collection,11.0,34,False,2022-08-28
51837,DLI1,K80004044,Push Button Blood Collection,13.0,35,False,2022-09-03
51842,DLI1,K80004044,Push Button Blood Collection,5.0,36,False,2022-09-10
51843,DLI1,K80004044,Push Button Blood Collection,1.0,37,False,2022-09-12
51846,DLI1,K80004044,Push Button Blood Collection,7.0,38,True,2022-09-23
51850,DLI1,K80004044,Push Button Blood Collection,9.0,39,False,2022-10-02
51854,DLI1,K80004044,Push Button Blood Collection,5.0,40,True,2022-10-09
51857,DLI1,K80004044,Push Button Blood Collection,6.0,41,False,2022-10-16
51858,DLI1,K80004044,Push Button Blood Collection,2.0,42,True,2022-10-18
51862,DLI1,K80004044,Push Button Blood Collection,5.0,43,False,2022-10-30
51868,DLI1,K80004044,Push Button Blood Collection,11.0,44,False,2022-11-06
51875,DLI1,K80004044,Push Button Blood Collection,13.0,45,False,2022-11-13
51879,DLI1,K80004044,Push Button Blood Collection,6.0,46,False,2022-11-20
51885,DLI1,K80004044,Push Button Blood Collection,13.0,47,False,2022-11-26
51887,DLI1,K80004044,Push Button Blood Collection,4.0,48,True,2022-12-01
51891,DLI1,K80004044,Push Button Blood Collection,6.0,49,False,2022-12-11
51898,DLI1,K80004044,Push Button Blood Collection,10.0,50,False,2022-12-18
51902,DLI1,K80004044,Push Button Blood Collection,7.0,51,False,2022-12-24
51907,DLI1,K80004044,Push Button Blood Collection,12.0,52,True,2022-12-29
