,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,1
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,2
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,3
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,4
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,5
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,6
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,7
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,8
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,9
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,10
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,11
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,12
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,13
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,14
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,15
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,16
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,17
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,18
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,19
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,20
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,21
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,22
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,23
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,24
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,25
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,26
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,27
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,28
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,29
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,1.0,2022-07-28,,,True,30
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,31
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,32
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,33
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,34
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,35
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,36
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,37
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,38
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,39
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,40
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,41
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,42
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,43
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,44
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,45
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,46
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,47
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,48
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,49
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,50
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,51
51927,DLI1,N00801503,手榴彈吸引球 125-150cc,0.0,2022-07-28,202207.0,T-不計價,True,52
