,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,1
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,2
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,3
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,4
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,5
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,6
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,7
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,8
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,9
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,10
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,11
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,12
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,13
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,14
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,15
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,16
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,17
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,18
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,19
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,20
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,21
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,22
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,23
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,24
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,25
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,26
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,27
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,28
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,29
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,30
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,31
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,32
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,33
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,2.0,2022-08-24,,,True,34
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,35
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,36
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,37
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,38
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,39
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,40
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,41
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,42
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,43
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,44
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,45
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,46
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,47
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,48
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,49
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,50
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,51
51929,DLI1,P20900579,造口護理器材適透膜環 57mm,0.0,2022-08-24,202208.0,C-計價,True,52
