,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
52072,DLI1,T01300007,多重濃度氧氣口罩,1.0,1,True,2022-01-04,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,2,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,3,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,4,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,5,True,2022-01-04,202201.0,T-不計價
52074,DLI1,T01300007,多重濃度氧氣口罩,2.0,6,True,2022-02-10,,
52076,DLI1,T01300007,多重濃度氧氣口罩,2.0,7,False,2022-02-19,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,8,True,2022-01-04,202201.0,T-不計價
52077,DLI1,T01300007,多重濃度氧氣口罩,1.0,9,True,2022-03-01,,
52079,DLI1,T01300007,多重濃度氧氣口罩,2.0,10,False,2022-03-12,,
52080,DLI1,T01300007,多重濃度氧氣口罩,1.0,11,True,2022-03-14,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,12,True,2022-01-04,202201.0,T-不計價
52081,DLI1,T01300007,多重濃度氧氣口罩,1.0,13,True,2022-03-29,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,14,True,2022-01-04,202201.0,T-不計價
52084,DLI1,T01300007,多重濃度氧氣口罩,3.0,15,True,2022-04-15,,
52086,DLI1,T01300007,多重濃度氧氣口罩,2.0,16,True,2022-04-24,,
52087,DLI1,T01300007,多重濃度氧氣口罩,1.0,17,True,2022-04-25,,
52091,DLI1,T01300007,多重濃度氧氣口罩,5.0,18,True,2022-05-07,,
52093,DLI1,T01300007,多重濃度氧氣口罩,2.0,19,True,2022-05-11,,
52094,DLI1,T01300007,多重濃度氧氣口罩,1.0,20,True,2022-05-16,,
52095,DLI1,T01300007,多重濃度氧氣口罩,1.0,21,False,2022-05-28,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,22,True,2022-01-04,202201.0,T-不計價
52096,DLI1,T01300007,多重濃度氧氣口罩,1.0,23,True,2022-06-10,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,24,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,25,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,26,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,27,True,2022-01-04,202201.0,T-不計價
52099,DLI1,T01300007,多重濃度氧氣口罩,3.0,28,False,2022-07-17,,
52100,DLI1,T01300007,多重濃度氧氣口罩,1.0,29,True,2022-07-19,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,30,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,31,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,32,True,2022-01-04,202201.0,T-不計價
52101,DLI1,T01300007,多重濃度氧氣口罩,1.0,33,False,2022-08-20,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,34,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,35,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,36,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,37,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,38,True,2022-01-04,202201.0,T-不計價
52102,DLI1,T01300007,多重濃度氧氣口罩,1.0,39,True,2022-09-28,,
52104,DLI1,T01300007,多重濃度氧氣口罩,2.0,40,False,2022-10-04,,
52105,DLI1,T01300007,多重濃度氧氣口罩,1.0,41,True,2022-10-10,,
52107,DLI1,T01300007,多重濃度氧氣口罩,2.0,42,False,2022-10-22,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,43,True,2022-01-04,202201.0,T-不計價
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,44,True,2022-01-04,202201.0,T-不計價
52108,DLI1,T01300007,多重濃度氧氣口罩,1.0,45,True,2022-11-11,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,46,True,2022-01-04,202201.0,T-不計價
52109,DLI1,T01300007,多重濃度氧氣口罩,1.0,47,True,2022-11-25,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,48,True,2022-01-04,202201.0,T-不計價
52111,DLI1,T01300007,多重濃度氧氣口罩,2.0,49,False,2022-12-11,,
52113,DLI1,T01300007,多重濃度氧氣口罩,3.0,50,True,2022-12-16,,
52114,DLI1,T01300007,多重濃度氧氣口罩,1.0,51,True,2022-12-19,,
52072,DLI1,T01300007,多重濃度氧氣口罩,0.0,52,True,2022-01-04,202201.0,T-不計價
