,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,1
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,2
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,3
52141,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-01-25,,,True,4
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,5
52143,DLI1,T01910532,丟棄式人工甦醒球,2.0,2022-02-13,,,False,6
52144,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-02-18,,,True,7
52146,DLI1,T01910532,丟棄式人工甦醒球,3.0,2022-02-25,,,True,8
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,9
52147,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-03-08,,,True,10
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,11
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,12
52148,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-04-03,,,False,13
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,14
52149,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-04-14,,,True,15
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,16
52150,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-04-26,,,True,17
52153,DLI1,T01910532,丟棄式人工甦醒球,3.0,2022-05-07,,,True,18
52154,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-05-11,,,True,19
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,20
52155,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-05-28,,,False,21
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,22
52156,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-06-12,,,False,23
52157,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-06-16,,,True,24
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,25
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,26
52159,DLI1,T01910532,丟棄式人工甦醒球,2.0,2022-07-07,,,True,27
52160,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-07-14,,,True,28
52161,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-07-23,,,False,29
52162,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-07-31,,,False,30
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,31
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,32
52163,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-08-17,,,True,33
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,34
52165,DLI1,T01910532,丟棄式人工甦醒球,2.0,2022-09-03,,,False,35
52166,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-09-10,,,False,36
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,37
52167,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-09-21,,,True,38
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,39
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,40
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,41
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,42
52168,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-10-28,,,True,43
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,44
52141,DLI1,T01910532,丟棄式人工甦醒球,0.0,2022-01-25,202201.0,T-不計價,True,45
52169,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-11-20,,,False,46
52170,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-11-24,,,True,47
52172,DLI1,T01910532,丟棄式人工甦醒球,2.0,2022-12-03,,,False,48
52174,DLI1,T01910532,丟棄式人工甦醒球,2.0,2022-12-08,,,True,49
52176,DLI1,T01910532,丟棄式人工甦醒球,2.0,2022-12-15,,,True,50
52177,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-12-22,,,True,51
52179,DLI1,T01910532,丟棄式人工甦醒球,2.0,2022-12-28,,,True,52
