,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,1
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,2
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,3
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,4
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,5
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,6
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,7
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,8
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,9
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,10
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,11
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,12
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,13
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,14
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,15
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,16
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,17
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,18
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,19
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,20
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,21
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,22
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,23
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,24
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,25
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,1.0,2022-06-27,,,True,26
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,27
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,28
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,29
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,30
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,31
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,32
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,33
54124,DLI1,U09012465,束腹帶(12〞x46〞)L,1.0,2022-08-28,,,False,34
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,35
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,36
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,37
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,38
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,39
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,40
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,41
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,42
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,43
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,44
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,45
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,46
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,47
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,48
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,49
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,50
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,51
54123,DLI1,U09012465,束腹帶(12〞x46〞)L,0.0,2022-06-27,202206.0,C-計價,True,52
