,庫房,料號,品名,數量,週,工作日,帳務日期
54377,DLI1,U91700000,丟棄式導尿包,6.0,1,False,2022-01-09
54385,DLI1,U91700000,丟棄式導尿包,9.0,2,False,2022-01-16
54392,DLI1,U91700000,丟棄式導尿包,7.0,3,False,2022-01-23
54400,DLI1,U91700000,丟棄式導尿包,8.0,4,True,2022-01-29
54406,DLI1,U91700000,丟棄式導尿包,6.0,5,False,2022-02-06
54414,DLI1,U91700000,丟棄式導尿包,9.0,6,False,2022-02-13
54419,DLI1,U91700000,丟棄式導尿包,5.0,7,True,2022-02-18
54429,DLI1,U91700000,丟棄式導尿包,10.0,8,False,2022-02-27
54437,DLI1,U91700000,丟棄式導尿包,8.0,9,False,2022-03-06
54446,DLI1,U91700000,丟棄式導尿包,9.0,10,False,2022-03-13
54451,DLI1,U91700000,丟棄式導尿包,8.0,11,False,2022-03-19
54457,DLI1,U91700000,丟棄式導尿包,6.0,12,False,2022-03-27
54464,DLI1,U91700000,丟棄式導尿包,7.0,13,False,2022-04-03
54468,DLI1,U91700000,丟棄式導尿包,5.0,14,False,2022-04-09
54475,DLI1,U91700000,丟棄式導尿包,7.0,15,True,2022-04-15
54485,DLI1,U91700000,丟棄式導尿包,11.0,16,True,2022-04-24
54492,DLI1,U91700000,丟棄式導尿包,8.0,17,False,2022-05-01
54500,DLI1,U91700000,丟棄式導尿包,8.0,18,True,2022-05-07
54510,DLI1,U91700000,丟棄式導尿包,10.0,19,False,2022-05-15
54521,DLI1,U91700000,丟棄式導尿包,11.0,20,False,2022-05-22
54527,DLI1,U91700000,丟棄式導尿包,6.0,21,False,2022-05-29
54533,DLI1,U91700000,丟棄式導尿包,6.0,22,True,2022-06-01
54541,DLI1,U91700000,丟棄式導尿包,8.0,23,False,2022-06-12
54548,DLI1,U91700000,丟棄式導尿包,8.0,24,True,2022-06-17
54557,DLI1,U91700000,丟棄式導尿包,9.0,25,False,2022-06-26
54567,DLI1,U91700000,丟棄式導尿包,10.0,26,False,2022-07-03
54574,DLI1,U91700000,丟棄式導尿包,7.0,27,True,2022-07-08
54582,DLI1,U91700000,丟棄式導尿包,8.0,28,False,2022-07-17
54590,DLI1,U91700000,丟棄式導尿包,11.0,29,False,2022-07-24
54597,DLI1,U91700000,丟棄式導尿包,7.0,30,False,2022-07-31
54605,DLI1,U91700000,丟棄式導尿包,9.0,31,False,2022-08-06
54609,DLI1,U91700000,丟棄式導尿包,4.0,32,True,2022-08-09
54614,DLI1,U91700000,丟棄式導尿包,7.0,33,False,2022-08-21
54619,DLI1,U91700000,丟棄式導尿包,6.0,34,False,2022-08-28
54624,DLI1,U91700000,丟棄式導尿包,6.0,35,False,2022-09-04
54632,DLI1,U91700000,丟棄式導尿包,8.0,36,False,2022-09-10
54638,DLI1,U91700000,丟棄式導尿包,6.0,37,False,2022-09-18
54643,DLI1,U91700000,丟棄式導尿包,5.0,38,False,2022-09-25
54651,DLI1,U91700000,丟棄式導尿包,8.0,39,False,2022-10-02
54659,DLI1,U91700000,丟棄式導尿包,9.0,40,True,2022-10-09
54662,DLI1,U91700000,丟棄式導尿包,3.0,41,False,2022-10-16
54666,DLI1,U91700000,丟棄式導尿包,6.0,42,True,2022-10-21
54672,DLI1,U91700000,丟棄式導尿包,6.0,43,True,2022-10-28
54682,DLI1,U91700000,丟棄式導尿包,10.0,44,False,2022-11-05
54691,DLI1,U91700000,丟棄式導尿包,9.0,45,False,2022-11-13
54697,DLI1,U91700000,丟棄式導尿包,6.0,46,False,2022-11-20
54701,DLI1,U91700000,丟棄式導尿包,4.0,47,False,2022-11-26
54708,DLI1,U91700000,丟棄式導尿包,7.0,48,False,2022-12-04
54718,DLI1,U91700000,丟棄式導尿包,10.0,49,False,2022-12-11
54724,DLI1,U91700000,丟棄式導尿包,6.0,50,True,2022-12-15
54730,DLI1,U91700000,丟棄式導尿包,7.0,51,False,2022-12-25
54739,DLI1,U91700000,丟棄式導尿包,10.0,52,True,2022-12-30
