,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
54924,DLI1,V02204118,手術刀片,1.0,1,False,2022-01-03,,
54924,DLI1,V02204118,手術刀片,0.0,2,False,2022-01-03,202201.0,T-不計價
54925,DLI1,V02204118,手術刀片,1.0,3,True,2022-01-18,,
54928,DLI1,V02204118,手術刀片,4.0,4,True,2022-01-29,,
54930,DLI1,V02204118,手術刀片,2.0,5,False,2022-02-05,,
54931,DLI1,V02204118,手術刀片,1.0,6,True,2022-02-07,,
54934,DLI1,V02204118,手術刀片,3.0,7,True,2022-02-17,,
54936,DLI1,V02204118,手術刀片,2.0,8,True,2022-02-23,,
54924,DLI1,V02204118,手術刀片,0.0,9,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,10,False,2022-01-03,202201.0,T-不計價
54937,DLI1,V02204118,手術刀片,1.0,11,True,2022-03-17,,
54938,DLI1,V02204118,手術刀片,1.0,12,True,2022-03-24,,
54939,DLI1,V02204118,手術刀片,1.0,13,True,2022-04-02,,
54924,DLI1,V02204118,手術刀片,0.0,14,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,15,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,16,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,17,False,2022-01-03,202201.0,T-不計價
54940,DLI1,V02204118,手術刀片,5.0,18,True,2022-05-05,,
54942,DLI1,V02204118,手術刀片,2.0,19,True,2022-05-12,,
54945,DLI1,V02204118,手術刀片,3.0,20,True,2022-05-19,,
54924,DLI1,V02204118,手術刀片,0.0,21,False,2022-01-03,202201.0,T-不計價
54946,DLI1,V02204118,手術刀片,1.0,22,True,2022-05-31,,
54924,DLI1,V02204118,手術刀片,0.0,23,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,24,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,25,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,26,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,27,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,28,False,2022-01-03,202201.0,T-不計價
54947,DLI1,V02204118,手術刀片,1.0,29,True,2022-07-18,,
54924,DLI1,V02204118,手術刀片,0.0,30,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,31,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,32,False,2022-01-03,202201.0,T-不計價
54948,DLI1,V02204118,手術刀片,1.0,33,True,2022-08-15,,
54924,DLI1,V02204118,手術刀片,0.0,34,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,35,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,36,False,2022-01-03,202201.0,T-不計價
54949,DLI1,V02204118,手術刀片,1.0,37,True,2022-09-16,,
54924,DLI1,V02204118,手術刀片,0.0,38,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,39,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,40,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,41,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,42,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,43,False,2022-01-03,202201.0,T-不計價
54951,DLI1,V02204118,手術刀片,2.0,44,True,2022-11-02,,
54952,DLI1,V02204118,手術刀片,1.0,45,True,2022-11-08,,
54924,DLI1,V02204118,手術刀片,0.0,46,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,47,False,2022-01-03,202201.0,T-不計價
54954,DLI1,V02204118,手術刀片,2.0,48,False,2022-12-03,,
54924,DLI1,V02204118,手術刀片,0.0,49,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,50,False,2022-01-03,202201.0,T-不計價
54924,DLI1,V02204118,手術刀片,0.0,51,False,2022-01-03,202201.0,T-不計價
54955,DLI1,V02204118,手術刀片,1.0,52,True,2022-12-28,,
