,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,1
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,2
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,3
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,4
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,5
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,6
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,7
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,2.0,2022-02-21,,,True,8
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,9
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,10
55059,DLI1,Z25211869,N95口罩(第2等級)三瓣型,2.0,2022-03-17,,,True,11
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,12
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,13
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,14
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,15
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,16
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,17
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,18
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,19
55060,DLI1,Z25211869,N95口罩(第2等級)三瓣型,2.0,2022-05-19,,,True,20
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,21
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,22
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,23
55058,DLI1,Z25211869,N95口罩(第2等級)三瓣型,0.0,2022-02-21,202202.0,T-不計價,True,24
