,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,1
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,2
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,3
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,4
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,5
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,6
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,7
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,8
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,9
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,10
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,11
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,12
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,13
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,14
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,15
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,16
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,17
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,18
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,19
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,20
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,21
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,22
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,23
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,24
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,25
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,26
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,27
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,28
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,29
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,30
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,31
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,32
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,33
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,34
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,35
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,36
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,37
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,38
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,39
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,40
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,41
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,42
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,43
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,44
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,45
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,46
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,47
447,DLN3,A03295054,安全式注射筆專用針,5.0,2022-12-04,,,False,48
454,DLN3,A03295054,安全式注射筆專用針,7.0,2022-12-11,,,False,49
461,DLN3,A03295054,安全式注射筆專用針,7.0,2022-12-18,,,False,50
464,DLN3,A03295054,安全式注射筆專用針,3.0,2022-12-21,,,True,51
443,DLN3,A03295054,安全式注射筆專用針,0.0,2022-11-30,202211.0,T-不計價,True,52
