,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,1
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,2
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,3
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,4
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,5
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,6
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,7
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,8
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,9
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,10
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,11
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,12
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,13
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,14
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,15
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,16
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,17
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,18
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,19
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,20
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,21
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,22
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,23
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,1.0,2022-06-16,,,True,24
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,25
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,26
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,27
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,28
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,29
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,30
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,31
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,32
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,33
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,34
1912,DLN3,B08142226,紗布墊 2〞x2〞x8ply,0.0,2022-06-16,202206.0,T-不計價,True,35
