,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,1
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,2
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,3
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,4
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,5
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,6
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,7
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,8
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,9
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,10
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,11
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,12
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,13
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,14
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,15
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,16
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,17
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,18
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,19
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,20
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,21
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,22
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,23
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2022-06-16,,,True,24
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,25
1917,DLN3,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2022-06-16,202206.0,T-不計價,True,26
