,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,1
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,2
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,3
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,4
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,5
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,6
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,7
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,8
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,9
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,10
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-03-17,,,True,11
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,12
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,13
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,14
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,15
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,16
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,17
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,18
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,19
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,20
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,21
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,22
1943,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-06-07,,,True,23
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,24
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,25
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,26
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,27
1944,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-07-15,,,True,28
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,29
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,30
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,31
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,32
1945,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-08-20,,,False,33
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,34
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,35
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,36
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,37
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,38
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,39
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,40
1942,DLN3,C02723000,氧氣鼻管 O2雙管 2-Way,0.0,2022-03-17,202203.0,T-不計價,True,41
