,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
1964,DLN3,C13930399,T型連接管,1.0,1,False,2022-01-03,,
1963,DLN3,C13930399,T型連接管,0.0,2,False,2022-01-01,202201.0,C-計價
1966,DLN3,C13930399,T型連接管,2.0,3,True,2022-01-20,,
1963,DLN3,C13930399,T型連接管,0.0,4,False,2022-01-01,202201.0,C-計價
1963,DLN3,C13930399,T型連接管,0.0,5,False,2022-01-01,202201.0,C-計價
1968,DLN3,C13930399,T型連接管,2.0,6,True,2022-02-11,,
1970,DLN3,C13930399,T型連接管,2.0,7,True,2022-02-16,,
1963,DLN3,C13930399,T型連接管,0.0,8,False,2022-01-01,202201.0,C-計價
1974,DLN3,C13930399,T型連接管,5.0,9,False,2022-03-05,,
1976,DLN3,C13930399,T型連接管,2.0,10,True,2022-03-11,,
1977,DLN3,C13930399,T型連接管,2.0,11,False,2022-03-19,,
1979,DLN3,C13930399,T型連接管,2.0,12,True,2022-03-25,,
1963,DLN3,C13930399,T型連接管,0.0,13,False,2022-01-01,202201.0,C-計價
1981,DLN3,C13930399,T型連接管,2.0,14,True,2022-04-08,,
1982,DLN3,C13930399,T型連接管,1.0,15,True,2022-04-11,,
1963,DLN3,C13930399,T型連接管,0.0,16,False,2022-01-01,202201.0,C-計價
1963,DLN3,C13930399,T型連接管,0.0,17,False,2022-01-01,202201.0,C-計價
1963,DLN3,C13930399,T型連接管,0.0,18,False,2022-01-01,202201.0,C-計價
1983,DLN3,C13930399,T型連接管,1.0,19,True,2022-05-09,,
1985,DLN3,C13930399,T型連接管,2.0,20,True,2022-05-20,,
1963,DLN3,C13930399,T型連接管,0.0,21,False,2022-01-01,202201.0,C-計價
1963,DLN3,C13930399,T型連接管,0.0,22,False,2022-01-01,202201.0,C-計價
1988,DLN3,C13930399,T型連接管,4.0,23,False,2022-06-12,,
1993,DLN3,C13930399,T型連接管,5.0,24,False,2022-06-18,,
1994,DLN3,C13930399,T型連接管,3.0,25,True,2022-06-20,,
1995,DLN3,C13930399,T型連接管,1.0,26,True,2022-06-30,,
1998,DLN3,C13930399,T型連接管,4.0,27,False,2022-07-10,,
1963,DLN3,C13930399,T型連接管,0.0,28,False,2022-01-01,202201.0,C-計價
1963,DLN3,C13930399,T型連接管,0.0,29,False,2022-01-01,202201.0,C-計價
2000,DLN3,C13930399,T型連接管,2.0,30,True,2022-07-28,,
2001,DLN3,C13930399,T型連接管,1.0,31,True,2022-08-01,,
2002,DLN3,C13930399,T型連接管,2.0,32,True,2022-08-08,,
2004,DLN3,C13930399,T型連接管,2.0,33,False,2022-08-20,,
2009,DLN3,C13930399,T型連接管,6.0,34,False,2022-08-28,,
2012,DLN3,C13930399,T型連接管,4.0,35,True,2022-08-31,,
2013,DLN3,C13930399,T型連接管,1.0,36,False,2022-09-10,,
2020,DLN3,C13930399,T型連接管,8.0,37,False,2022-09-18,,
2023,DLN3,C13930399,T型連接管,4.0,38,False,2022-09-25,,
2029,DLN3,C13930399,T型連接管,7.0,39,False,2022-10-02,,
2030,DLN3,C13930399,T型連接管,1.0,40,True,2022-10-09,,
2033,DLN3,C13930399,T型連接管,3.0,41,False,2022-10-16,,
2035,DLN3,C13930399,T型連接管,2.0,42,True,2022-10-19,,
1963,DLN3,C13930399,T型連接管,0.0,43,False,2022-01-01,202201.0,C-計價
1963,DLN3,C13930399,T型連接管,0.0,44,False,2022-01-01,202201.0,C-計價
2038,DLN3,C13930399,T型連接管,4.0,45,False,2022-11-13,,
2047,DLN3,C13930399,T型連接管,9.0,46,False,2022-11-19,,
2048,DLN3,C13930399,T型連接管,1.0,47,True,2022-11-22,,
2049,DLN3,C13930399,T型連接管,1.0,48,True,2022-11-29,,
2051,DLN3,C13930399,T型連接管,2.0,49,False,2022-12-11,,
2052,DLN3,C13930399,T型連接管,1.0,50,True,2022-12-12,,
2054,DLN3,C13930399,T型連接管,2.0,51,False,2022-12-25,,
2058,DLN3,C13930399,T型連接管,6.0,52,False,2022-12-31,,
