,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,1
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,2
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,3
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,4
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,5
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,6
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,7
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,8
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,9
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,10
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,11
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,12
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,13
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,14
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,15
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,16
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,17
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,18
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,19
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,20
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,21
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,22
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-07,,,True,23
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,24
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,25
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,26
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,27
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,28
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,29
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,30
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,31
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,32
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,33
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,34
2246,DLN3,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-06-07,202206.0,T-不計價,True,35
