,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
2252,DLN3,G81500272,血糖試紙,4.0,1,True,2022-01-06,,
2247,DLN3,G81500272,血糖試紙,0.0,2,False,2022-01-01,202201.0,T-不計價
2247,DLN3,G81500272,血糖試紙,0.0,3,False,2022-01-01,202201.0,T-不計價
2247,DLN3,G81500272,血糖試紙,0.0,4,False,2022-01-01,202201.0,T-不計價
2247,DLN3,G81500272,血糖試紙,0.0,5,False,2022-01-01,202201.0,T-不計價
2247,DLN3,G81500272,血糖試紙,0.0,6,False,2022-01-01,202201.0,T-不計價
2253,DLN3,G81500272,血糖試紙,1.0,7,True,2022-02-14,,
2259,DLN3,G81500272,血糖試紙,20.0,8,False,2022-02-27,,
2276,DLN3,G81500272,血糖試紙,56.0,9,False,2022-03-06,,
2297,DLN3,G81500272,血糖試紙,75.0,10,False,2022-03-13,,
2316,DLN3,G81500272,血糖試紙,54.0,11,False,2022-03-20,,
2327,DLN3,G81500272,血糖試紙,39.0,12,False,2022-03-27,,
2334,DLN3,G81500272,血糖試紙,35.0,13,False,2022-04-03,,
2344,DLN3,G81500272,血糖試紙,36.0,14,False,2022-04-10,,
2357,DLN3,G81500272,血糖試紙,37.0,15,False,2022-04-17,,
2370,DLN3,G81500272,血糖試紙,37.0,16,True,2022-04-24,,
2378,DLN3,G81500272,血糖試紙,16.0,17,False,2022-05-01,,
2390,DLN3,G81500272,血糖試紙,18.0,18,False,2022-05-08,,
2404,DLN3,G81500272,血糖試紙,34.0,19,False,2022-05-15,,
2419,DLN3,G81500272,血糖試紙,37.0,20,False,2022-05-22,,
2440,DLN3,G81500272,血糖試紙,42.0,21,False,2022-05-29,,
2457,DLN3,G81500272,血糖試紙,38.0,22,False,2022-06-05,,
2478,DLN3,G81500272,血糖試紙,55.0,23,False,2022-06-12,,
2508,DLN3,G81500272,血糖試紙,88.0,24,False,2022-06-19,,
2536,DLN3,G81500272,血糖試紙,90.0,25,False,2022-06-26,,
2560,DLN3,G81500272,血糖試紙,74.0,26,False,2022-07-03,,
2589,DLN3,G81500272,血糖試紙,75.0,27,False,2022-07-10,,
2622,DLN3,G81500272,血糖試紙,101.0,28,False,2022-07-17,,
2660,DLN3,G81500272,血糖試紙,91.0,29,False,2022-07-24,,
2704,DLN3,G81500272,血糖試紙,98.0,30,False,2022-07-31,,
2746,DLN3,G81500272,血糖試紙,89.0,31,False,2022-08-07,,
2794,DLN3,G81500272,血糖試紙,92.0,32,False,2022-08-14,,
2839,DLN3,G81500272,血糖試紙,95.0,33,False,2022-08-21,,
2873,DLN3,G81500272,血糖試紙,78.0,34,False,2022-08-28,,
2897,DLN3,G81500272,血糖試紙,39.0,35,False,2022-09-04,,
2913,DLN3,G81500272,血糖試紙,22.0,36,False,2022-09-11,,
2931,DLN3,G81500272,血糖試紙,28.0,37,False,2022-09-18,,
2946,DLN3,G81500272,血糖試紙,34.0,38,False,2022-09-25,,
2960,DLN3,G81500272,血糖試紙,34.0,39,False,2022-10-02,,
2967,DLN3,G81500272,血糖試紙,8.0,40,True,2022-10-08,,
2974,DLN3,G81500272,血糖試紙,7.0,41,False,2022-10-16,,
2989,DLN3,G81500272,血糖試紙,39.0,42,False,2022-10-23,,
3017,DLN3,G81500272,血糖試紙,62.0,43,False,2022-10-30,,
3042,DLN3,G81500272,血糖試紙,39.0,44,False,2022-11-06,,
3067,DLN3,G81500272,血糖試紙,41.0,45,False,2022-11-13,,
3090,DLN3,G81500272,血糖試紙,32.0,46,False,2022-11-20,,
3112,DLN3,G81500272,血糖試紙,51.0,47,False,2022-11-27,,
3138,DLN3,G81500272,血糖試紙,47.0,48,False,2022-12-04,,
3185,DLN3,G81500272,血糖試紙,88.0,49,False,2022-12-11,,
3231,DLN3,G81500272,血糖試紙,80.0,50,False,2022-12-18,,
3265,DLN3,G81500272,血糖試紙,43.0,51,False,2022-12-25,,
3290,DLN3,G81500272,血糖試紙,27.0,52,False,2022-12-31,,
