,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,1
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,2
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,3
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,4
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,5
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,6
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,7
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,8
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,9
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,10
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,11
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,12
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,13
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),1.0,2022-04-10,,,False,14
3293,DLN3,J00202019,勤達豪華型尿袋 (滅菌),1.0,2022-04-17,,,False,15
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,16
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,17
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,18
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,19
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,20
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,21
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,22
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,23
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,24
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,25
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,26
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,27
3292,DLN3,J00202019,勤達豪華型尿袋 (滅菌),0.0,2022-04-10,202204.0,T-不計價,False,28
