,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,1
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,2
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,3
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,4
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,5
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,6
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,7
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,8
8,DLN2,A00120033,2.5-3cc PVC 注射空針,4.0,2022-02-28,,,True,9
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,10
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,11
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,12
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,13
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,14
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,15
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,16
9,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-04-26,,,True,17
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,18
10,DLN2,A00120033,2.5-3cc PVC 注射空針,1.0,2022-05-09,,,True,19
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,20
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,21
12,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-06-05,,,False,22
14,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-06-08,,,True,23
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,24
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,25
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,26
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,27
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,28
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,29
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,30
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,31
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,32
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,33
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,34
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,35
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,36
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,37
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,38
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,39
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,40
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,41
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,42
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,43
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,44
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,45
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,46
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,47
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,48
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,49
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,50
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,51
7,DLN2,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-28,202202.0,T-不計價,True,52
