,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,1
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,2
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,3
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,4
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,5
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,6
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,7
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,8
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,9
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,10
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,11
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,12
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,13
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,14
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,15
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,16
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,17
744,DLN2,C00211075,橡皮導尿管1wayNo14美規,3.0,2022-05-04,,,False,18
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,19
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,20
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,21
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,22
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,23
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,24
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,25
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,26
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,27
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,28
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,29
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,30
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,31
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,32
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,33
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,34
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,35
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,36
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,37
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,38
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,39
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,40
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,41
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,42
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,43
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,44
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,45
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,46
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,47
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,48
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,49
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,50
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,51
742,DLN2,C00211075,橡皮導尿管1wayNo14美規,0.0,2022-05-02,202205.0,T-不計價,False,52
