,庫房,料號,品名,數量,週,工作日,帳務日期
788,DLN2,G81500272,血糖試紙,2.0,1,False,2022-01-03
790,DLN2,G81500272,血糖試紙,2.0,2,True,2022-01-10
791,DLN2,G81500272,血糖試紙,1.0,3,True,2022-01-17
792,DLN2,G81500272,血糖試紙,1.0,4,True,2022-01-24
793,DLN2,G81500272,血糖試紙,1.0,5,False,2022-01-31
794,DLN2,G81500272,血糖試紙,1.0,6,True,2022-02-07
795,DLN2,G81500272,血糖試紙,1.0,7,True,2022-02-14
796,DLN2,G81500272,血糖試紙,1.0,8,True,2022-02-21
797,DLN2,G81500272,血糖試紙,1.0,9,True,2022-02-28
798,DLN2,G81500272,血糖試紙,1.0,10,True,2022-03-07
799,DLN2,G81500272,血糖試紙,1.0,11,True,2022-03-14
800,DLN2,G81500272,血糖試紙,1.0,12,True,2022-03-21
801,DLN2,G81500272,血糖試紙,1.0,13,True,2022-03-28
802,DLN2,G81500272,血糖試紙,1.0,14,False,2022-04-04
808,DLN2,G81500272,血糖試紙,20.0,15,False,2022-04-17
816,DLN2,G81500272,血糖試紙,29.0,16,True,2022-04-24
831,DLN2,G81500272,血糖試紙,56.0,17,False,2022-05-01
846,DLN2,G81500272,血糖試紙,57.0,18,False,2022-05-08
860,DLN2,G81500272,血糖試紙,57.0,19,False,2022-05-15
875,DLN2,G81500272,血糖試紙,57.0,20,False,2022-05-22
892,DLN2,G81500272,血糖試紙,60.0,21,False,2022-05-29
907,DLN2,G81500272,血糖試紙,57.0,22,False,2022-06-05
918,DLN2,G81500272,血糖試紙,39.0,23,False,2022-06-12
926,DLN2,G81500272,血糖試紙,29.0,24,False,2022-06-19
934,DLN2,G81500272,血糖試紙,9.0,25,False,2022-06-26
942,DLN2,G81500272,血糖試紙,8.0,26,False,2022-07-03
943,DLN2,G81500272,血糖試紙,1.0,27,True,2022-07-04
944,DLN2,G81500272,血糖試紙,1.0,28,True,2022-07-11
949,DLN2,G81500272,血糖試紙,5.0,29,False,2022-07-24
951,DLN2,G81500272,血糖試紙,2.0,30,True,2022-07-25
952,DLN2,G81500272,血糖試紙,1.0,31,True,2022-08-01
953,DLN2,G81500272,血糖試紙,1.0,32,True,2022-08-08
954,DLN2,G81500272,血糖試紙,1.0,33,True,2022-08-15
955,DLN2,G81500272,血糖試紙,1.0,34,True,2022-08-22
970,DLN2,G81500272,血糖試紙,45.0,35,False,2022-09-04
986,DLN2,G81500272,血糖試紙,39.0,36,False,2022-09-11
1003,DLN2,G81500272,血糖試紙,37.0,37,False,2022-09-18
1021,DLN2,G81500272,血糖試紙,45.0,38,False,2022-09-25
1037,DLN2,G81500272,血糖試紙,37.0,39,False,2022-10-02
1053,DLN2,G81500272,血糖試紙,37.0,40,True,2022-10-09
1070,DLN2,G81500272,血糖試紙,38.0,41,False,2022-10-16
1086,DLN2,G81500272,血糖試紙,37.0,42,False,2022-10-23
1096,DLN2,G81500272,血糖試紙,25.0,43,False,2022-10-30
1105,DLN2,G81500272,血糖試紙,23.0,44,False,2022-11-06
1114,DLN2,G81500272,血糖試紙,22.0,45,False,2022-11-13
1124,DLN2,G81500272,血糖試紙,22.0,46,False,2022-11-20
1132,DLN2,G81500272,血糖試紙,23.0,47,False,2022-11-27
1140,DLN2,G81500272,血糖試紙,22.0,48,False,2022-12-04
1148,DLN2,G81500272,血糖試紙,21.0,49,False,2022-12-11
1156,DLN2,G81500272,血糖試紙,22.0,50,False,2022-12-18
1164,DLN2,G81500272,血糖試紙,21.0,51,False,2022-12-25
1171,DLN2,G81500272,血糖試紙,20.0,52,False,2022-12-31
