,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
1172,DLN2,K80004044,Push Button Blood Collection,0.0,2022-01-17,202201.0,T-不計價,True,1
1172,DLN2,K80004044,Push Button Blood Collection,0.0,2022-01-17,202201.0,T-不計價,True,2
1178,DLN2,K80004044,Push Button Blood Collection,8.0,2022-01-17,,,True,3
1182,DLN2,K80004044,Push Button Blood Collection,5.0,2022-01-24,,,True,4
1183,DLN2,K80004044,Push Button Blood Collection,1.0,2022-01-31,,,False,5
1192,DLN2,K80004044,Push Button Blood Collection,12.0,2022-02-07,,,True,6
1194,DLN2,K80004044,Push Button Blood Collection,5.0,2022-02-15,,,True,7
1197,DLN2,K80004044,Push Button Blood Collection,3.0,2022-02-22,,,True,8
1199,DLN2,K80004044,Push Button Blood Collection,2.0,2022-03-06,,,False,9
1206,DLN2,K80004044,Push Button Blood Collection,8.0,2022-03-07,,,True,10
1208,DLN2,K80004044,Push Button Blood Collection,2.0,2022-03-14,,,True,11
1210,DLN2,K80004044,Push Button Blood Collection,3.0,2022-03-26,,,False,12
1172,DLN2,K80004044,Push Button Blood Collection,0.0,2022-01-17,202201.0,T-不計價,True,13
1216,DLN2,K80004044,Push Button Blood Collection,6.0,2022-04-04,,,False,14
1221,DLN2,K80004044,Push Button Blood Collection,5.0,2022-04-11,,,True,15
1226,DLN2,K80004044,Push Button Blood Collection,5.0,2022-04-18,,,True,16
1172,DLN2,K80004044,Push Button Blood Collection,0.0,2022-01-17,202201.0,T-不計價,True,17
1233,DLN2,K80004044,Push Button Blood Collection,11.0,2022-05-08,,,False,18
1234,DLN2,K80004044,Push Button Blood Collection,1.0,2022-05-09,,,True,19
1237,DLN2,K80004044,Push Button Blood Collection,3.0,2022-05-16,,,True,20
1242,DLN2,K80004044,Push Button Blood Collection,5.0,2022-05-23,,,True,21
1243,DLN2,K80004044,Push Button Blood Collection,4.0,2022-06-03,,,False,22
1244,DLN2,K80004044,Push Button Blood Collection,1.0,2022-06-06,,,True,23
1172,DLN2,K80004044,Push Button Blood Collection,0.0,2022-01-17,202201.0,T-不計價,True,24
1245,DLN2,K80004044,Push Button Blood Collection,2.0,2022-06-22,,,True,25
1172,DLN2,K80004044,Push Button Blood Collection,0.0,2022-01-17,202201.0,T-不計價,True,26
1172,DLN2,K80004044,Push Button Blood Collection,0.0,2022-01-17,202201.0,T-不計價,True,27
1172,DLN2,K80004044,Push Button Blood Collection,0.0,2022-01-17,202201.0,T-不計價,True,28
1246,DLN2,K80004044,Push Button Blood Collection,1.0,2022-07-18,,,True,29
1247,DLN2,K80004044,Push Button Blood Collection,2.0,2022-07-25,,,True,30
1253,DLN2,K80004044,Push Button Blood Collection,7.0,2022-08-05,,,True,31
1172,DLN2,K80004044,Push Button Blood Collection,0.0,2022-01-17,202201.0,T-不計價,True,32
1258,DLN2,K80004044,Push Button Blood Collection,9.0,2022-08-21,,,False,33
1266,DLN2,K80004044,Push Button Blood Collection,8.0,2022-08-22,,,True,34
1271,DLN2,K80004044,Push Button Blood Collection,5.0,2022-08-30,,,True,35
1277,DLN2,K80004044,Push Button Blood Collection,6.0,2022-09-08,,,True,36
1281,DLN2,K80004044,Push Button Blood Collection,4.0,2022-09-12,,,False,37
1283,DLN2,K80004044,Push Button Blood Collection,2.0,2022-09-19,,,True,38
1292,DLN2,K80004044,Push Button Blood Collection,12.0,2022-09-26,,,True,39
1293,DLN2,K80004044,Push Button Blood Collection,1.0,2022-10-03,,,False,40
1297,DLN2,K80004044,Push Button Blood Collection,6.0,2022-10-10,,,True,41
1298,DLN2,K80004044,Push Button Blood Collection,1.0,2022-10-17,,,True,42
1307,DLN2,K80004044,Push Button Blood Collection,9.0,2022-10-24,,,True,43
1314,DLN2,K80004044,Push Button Blood Collection,7.0,2022-11-05,,,False,44
1317,DLN2,K80004044,Push Button Blood Collection,3.0,2022-11-07,,,True,45
1320,DLN2,K80004044,Push Button Blood Collection,3.0,2022-11-18,,,True,46
1327,DLN2,K80004044,Push Button Blood Collection,9.0,2022-11-21,,,True,47
1332,DLN2,K80004044,Push Button Blood Collection,5.0,2022-11-28,,,True,48
1340,DLN2,K80004044,Push Button Blood Collection,8.0,2022-12-05,,,True,49
1341,DLN2,K80004044,Push Button Blood Collection,2.0,2022-12-12,,,True,50
1347,DLN2,K80004044,Push Button Blood Collection,9.0,2022-12-20,,,True,51
1354,DLN2,K80004044,Push Button Blood Collection,14.0,2022-12-26,,,True,52
