,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,1
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,2
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,3
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,4
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,5
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,6
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,7
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,8
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,9
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,10
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,11
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,12
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,13
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,14
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,15
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,16
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,17
1355,DLN2,T01101016,氧氣口罩成人含接管,1.0,2022-05-08,,,False,18
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,19
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,20
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,21
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,22
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,23
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,24
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,25
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,26
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,27
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,28
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,29
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,30
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,31
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,32
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,33
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,34
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,35
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,36
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,37
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,38
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,39
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,40
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,41
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,42
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,43
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,44
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,45
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,46
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,47
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,48
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,49
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,50
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,51
1355,DLN2,T01101016,氧氣口罩成人含接管,0.0,2022-05-08,202205.0,T-不計價,False,52
