,庫房,料號,品名,數量,帳務日期,週,工作日
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,1,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,2,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,3,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,4,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,5,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,6,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,7,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,8,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,9,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,10,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,11,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,12,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,13,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,14,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,15,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,16,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,17,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,18,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,19,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,20,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,21,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,22,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,23,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,24,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,25,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,26,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,27,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,28,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,29,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,30,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,31,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,32,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,33,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,34,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,35,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,36,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,37,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,38,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,39,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,40,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,41,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,42,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,2,2022/10/28,43,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,44,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,45,True
15340,DLN5,A00120308,塑膠注射器 30cc有螺,1,2022/11/18,46,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,47,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,48,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,49,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,50,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,51,True
15339,DLN5,A00120308,塑膠注射器 30cc有螺,0,2022/10/28,52,True
