,庫房,料號,品名,數量,週,工作日,帳務日期
21621,DLN5,A03295054,安全式注射筆專用針,36,1,False,2022/1/9
21630,DLN5,A03295054,安全式注射筆專用針,9,2,False,2022/1/16
21636,DLN5,A03295054,安全式注射筆專用針,6,3,True,2022/1/21
21639,DLN5,A03295054,安全式注射筆專用針,5,4,True,2022/1/28
21587,DLN5,A03295054,安全式注射筆專用針,0,5,False,2022/1/1
21646,DLN5,A03295054,安全式注射筆專用針,10,6,False,2022/2/13
21663,DLN5,A03295054,安全式注射筆專用針,19,7,False,2022/2/20
21681,DLN5,A03295054,安全式注射筆專用針,20,8,False,2022/2/27
21695,DLN5,A03295054,安全式注射筆專用針,15,9,False,2022/3/6
21716,DLN5,A03295054,安全式注射筆專用針,21,10,False,2022/3/13
21723,DLN5,A03295054,安全式注射筆專用針,9,11,True,2022/3/18
21728,DLN5,A03295054,安全式注射筆專用針,5,12,False,2022/3/27
21735,DLN5,A03295054,安全式注射筆專用針,7,13,False,2022/4/3
21755,DLN5,A03295054,安全式注射筆專用針,31,14,False,2022/4/10
21775,DLN5,A03295054,安全式注射筆專用針,33,15,False,2022/4/17
21785,DLN5,A03295054,安全式注射筆專用針,10,16,False,2022/4/23
21802,DLN5,A03295054,安全式注射筆專用針,32,17,False,2022/5/1
21806,DLN5,A03295054,安全式注射筆專用針,6,18,False,2022/5/4
21823,DLN5,A03295054,安全式注射筆專用針,27,19,False,2022/5/15
21840,DLN5,A03295054,安全式注射筆專用針,28,20,False,2022/5/22
21862,DLN5,A03295054,安全式注射筆專用針,30,21,False,2022/5/29
21886,DLN5,A03295054,安全式注射筆專用針,37,22,False,2022/6/5
21897,DLN5,A03295054,安全式注射筆專用針,14,23,False,2022/6/12
21903,DLN5,A03295054,安全式注射筆專用針,6,24,False,2022/6/19
21911,DLN5,A03295054,安全式注射筆專用針,8,25,False,2022/6/26
21918,DLN5,A03295054,安全式注射筆專用針,8,26,False,2022/7/3
21920,DLN5,A03295054,安全式注射筆專用針,2,27,True,2022/7/8
21929,DLN5,A03295054,安全式注射筆專用針,19,28,False,2022/7/17
21940,DLN5,A03295054,安全式注射筆專用針,15,29,False,2022/7/24
21587,DLN5,A03295054,安全式注射筆專用針,0,30,False,2022/1/1
21948,DLN5,A03295054,安全式注射筆專用針,9,31,False,2022/8/7
21952,DLN5,A03295054,安全式注射筆專用針,7,32,False,2022/8/14
21958,DLN5,A03295054,安全式注射筆專用針,7,33,False,2022/8/21
21965,DLN5,A03295054,安全式注射筆專用針,10,34,False,2022/8/27
21968,DLN5,A03295054,安全式注射筆專用針,3,35,False,2022/9/3
21969,DLN5,A03295054,安全式注射筆專用針,1,36,False,2022/9/11
21983,DLN5,A03295054,安全式注射筆專用針,24,37,False,2022/9/18
22001,DLN5,A03295054,安全式注射筆專用針,27,38,False,2022/9/25
22037,DLN5,A03295054,安全式注射筆專用針,54,39,False,2022/10/2
22075,DLN5,A03295054,安全式注射筆專用針,65,40,True,2022/10/9
22107,DLN5,A03295054,安全式注射筆專用針,39,41,False,2022/10/16
22139,DLN5,A03295054,安全式注射筆專用針,41,42,False,2022/10/23
22180,DLN5,A03295054,安全式注射筆專用針,58,43,False,2022/10/30
22201,DLN5,A03295054,安全式注射筆專用針,25,44,False,2022/11/6
22224,DLN5,A03295054,安全式注射筆專用針,24,45,False,2022/11/13
22250,DLN5,A03295054,安全式注射筆專用針,28,46,False,2022/11/20
22265,DLN5,A03295054,安全式注射筆專用針,15,47,False,2022/11/27
22291,DLN5,A03295054,安全式注射筆專用針,26,48,False,2022/12/4
22313,DLN5,A03295054,安全式注射筆專用針,22,49,False,2022/12/11
22333,DLN5,A03295054,安全式注射筆專用針,24,50,False,2022/12/18
22337,DLN5,A03295054,安全式注射筆專用針,4,51,True,2022/12/22
22340,DLN5,A03295054,安全式注射筆專用針,7,52,True,2022/12/30
