,庫房,料號,品名,數量,帳務日期,週,工作日
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,1,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,2,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,3,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,4,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,5,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,6,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,7,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,8,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,9,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,10,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,11,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,12,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,13,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,14,True
34651,DLN5,A46443607,硝酸甘油輸液套,1,2022/4/13,15,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,16,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,17,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,18,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,19,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,20,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,21,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,22,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,23,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,24,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,25,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,26,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,27,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,28,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,29,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,30,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,31,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,32,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,33,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,34,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,35,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,36,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,37,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,38,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,39,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,40,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,41,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,42,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,43,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,44,True
34652,DLN5,A46443607,硝酸甘油輸液套,1,2022/11/11,45,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,46,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,47,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,48,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,49,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,50,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,51,True
34651,DLN5,A46443607,硝酸甘油輸液套,0,2022/4/13,52,True
