,庫房,料號,品名,數量,帳務日期,週,工作日
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,1,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,2,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,3,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,4,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,5,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,6,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,7,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,8,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,9,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,10,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,11,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,12,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,13,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,14,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,15,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,16,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,17,True
43802,DLN5,C90100122,真空吸引器-1/8〞,1,2022/5/5,18,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,19,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,20,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,21,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,22,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,23,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,24,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,25,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,26,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,27,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,28,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,29,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,30,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,31,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,32,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,33,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,34,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,35,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,36,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,37,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,38,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,39,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,40,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,41,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,42,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,43,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,44,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,45,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,46,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,47,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,48,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,49,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,50,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,51,True
43802,DLN5,C90100122,真空吸引器-1/8〞,0,2022/5/5,52,True
