,庫房,料號,品名,數量,帳務日期,週,工作日
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,1,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,2,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,3,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,4,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,5,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,6,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,7,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,8,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,9,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,10,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,11,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,12,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,13,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,14,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,15,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,16,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,17,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,18,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,19,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,20,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,21,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,22,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,23,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,24,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,25,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,26,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,27,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,28,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,29,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,30,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,31,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,32,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,33,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,34,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,35,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,36,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,37,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,38,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,39,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,40,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,41,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,42,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,43,False
43815,DLN5,F00230005,胸腔引流瓶,1,2022/10/31,44,True
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,45,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,46,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,47,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,48,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,49,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,50,False
43814,DLN5,F00230005,胸腔引流瓶,0,2022/1/2,51,False
43814,DLN5,F00230005,胸腔引流瓶,1,2022/1/2,52,False
