,庫房,料號,品名,數量,帳務日期,週,工作日
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,1,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,2,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,3,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,4,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,5,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,6,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,7,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,8,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,9,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,10,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,11,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,12,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,13,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,14,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,15,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,16,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,17,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,18,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,19,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,20,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,21,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,22,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,23,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,24,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,25,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,26,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,27,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,28,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,29,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,30,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,31,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,32,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,33,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,34,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,35,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,36,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,37,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,38,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,39,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,40,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,41,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,42,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,43,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,44,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,45,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,46,True
52523,DLN5,G90400709,倍舒痕凝膠,2,2022/11/21,47,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,48,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,49,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,50,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,51,True
52522,DLN5,G90400709,倍舒痕凝膠,0,2022/11/21,52,True
