,庫房,料號,品名,數量,週,工作日,帳務日期
52746,DLN5,I20130346,藥物準備系統組件Adapter,2,1,True,2022/1/7
52752,DLN5,I20130346,藥物準備系統組件Adapter,6,2,True,2022/1/14
52761,DLN5,I20130346,藥物準備系統組件Adapter,10,3,True,2022/1/21
52763,DLN5,I20130346,藥物準備系統組件Adapter,2,4,True,2022/1/26
52745,DLN5,I20130346,藥物準備系統組件Adapter,0,5,True,2022/1/7
52769,DLN5,I20130346,藥物準備系統組件Adapter,6,6,True,2022/2/11
52773,DLN5,I20130346,藥物準備系統組件Adapter,4,7,True,2022/2/18
52774,DLN5,I20130346,藥物準備系統組件Adapter,1,8,True,2022/2/21
52778,DLN5,I20130346,藥物準備系統組件Adapter,4,9,True,2022/3/4
52786,DLN5,I20130346,藥物準備系統組件Adapter,9,10,True,2022/3/11
52787,DLN5,I20130346,藥物準備系統組件Adapter,1,11,True,2022/3/18
52789,DLN5,I20130346,藥物準備系統組件Adapter,3,12,True,2022/3/21
52795,DLN5,I20130346,藥物準備系統組件Adapter,6,13,True,2022/4/1
52796,DLN5,I20130346,藥物準備系統組件Adapter,1,14,True,2022/4/8
52799,DLN5,I20130346,藥物準備系統組件Adapter,3,15,True,2022/4/15
52803,DLN5,I20130346,藥物準備系統組件Adapter,4,16,True,2022/4/22
52807,DLN5,I20130346,藥物準備系統組件Adapter,4,17,True,2022/4/29
52809,DLN5,I20130346,藥物準備系統組件Adapter,2,18,True,2022/5/6
52815,DLN5,I20130346,藥物準備系統組件Adapter,6,19,True,2022/5/13
52817,DLN5,I20130346,藥物準備系統組件Adapter,2,20,True,2022/5/19
52818,DLN5,I20130346,藥物準備系統組件Adapter,1,21,True,2022/5/26
52823,DLN5,I20130346,藥物準備系統組件Adapter,5,22,True,2022/6/2
52824,DLN5,I20130346,藥物準備系統組件Adapter,1,23,True,2022/6/6
52825,DLN5,I20130346,藥物準備系統組件Adapter,1,24,True,2022/6/16
52826,DLN5,I20130346,藥物準備系統組件Adapter,1,25,True,2022/6/23
52745,DLN5,I20130346,藥物準備系統組件Adapter,0,26,True,2022/1/7
52827,DLN5,I20130346,藥物準備系統組件Adapter,1,27,True,2022/7/4
52828,DLN5,I20130346,藥物準備系統組件Adapter,1,28,True,2022/7/12
52745,DLN5,I20130346,藥物準備系統組件Adapter,0,29,True,2022/1/7
52831,DLN5,I20130346,藥物準備系統組件Adapter,3,30,True,2022/7/29
52834,DLN5,I20130346,藥物準備系統組件Adapter,3,31,True,2022/8/5
52745,DLN5,I20130346,藥物準備系統組件Adapter,0,32,True,2022/1/7
52837,DLN5,I20130346,藥物準備系統組件Adapter,3,33,True,2022/8/19
52841,DLN5,I20130346,藥物準備系統組件Adapter,4,34,True,2022/8/26
52745,DLN5,I20130346,藥物準備系統組件Adapter,0,35,True,2022/1/7
52845,DLN5,I20130346,藥物準備系統組件Adapter,4,36,True,2022/9/8
52847,DLN5,I20130346,藥物準備系統組件Adapter,2,37,True,2022/9/16
52851,DLN5,I20130346,藥物準備系統組件Adapter,4,38,True,2022/9/23
52853,DLN5,I20130346,藥物準備系統組件Adapter,2,39,True,2022/9/30
52857,DLN5,I20130346,藥物準備系統組件Adapter,4,40,False,2022/10/7
52859,DLN5,I20130346,藥物準備系統組件Adapter,2,41,True,2022/10/13
52861,DLN5,I20130346,藥物準備系統組件Adapter,2,42,True,2022/10/19
52863,DLN5,I20130346,藥物準備系統組件Adapter,2,43,True,2022/10/28
52866,DLN5,I20130346,藥物準備系統組件Adapter,3,44,True,2022/11/2
52870,DLN5,I20130346,藥物準備系統組件Adapter,4,45,True,2022/11/11
52874,DLN5,I20130346,藥物準備系統組件Adapter,4,46,True,2022/11/18
52745,DLN5,I20130346,藥物準備系統組件Adapter,0,47,True,2022/1/7
52879,DLN5,I20130346,藥物準備系統組件Adapter,5,48,True,2022/12/1
52880,DLN5,I20130346,藥物準備系統組件Adapter,1,49,True,2022/12/6
52882,DLN5,I20130346,藥物準備系統組件Adapter,2,50,True,2022/12/14
52884,DLN5,I20130346,藥物準備系統組件Adapter,2,51,True,2022/12/23
52888,DLN5,I20130346,藥物準備系統組件Adapter,4,52,True,2022/12/28
