,庫房,料號,品名,數量,帳務日期,週,工作日
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,1,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,2,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,3,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,4,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,5,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,6,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,7,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,8,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,9,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,10,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,11,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,12,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,13,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,14,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,15,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,16,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,17,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,18,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,19,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,20,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,21,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,22,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,23,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,24,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,25,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,26,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,27,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,28,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,29,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,30,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,31,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,32,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,33,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,34,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,35,False
52979,DLN5,J00202506,尿液收集袋,1,2022/9/11,36,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,37,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,38,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,39,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,40,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,41,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,42,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,43,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,44,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,45,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,46,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,47,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,48,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,49,False
52980,DLN5,J00202506,尿液收集袋,1,2022/12/13,50,True
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,51,False
52979,DLN5,J00202506,尿液收集袋,0,2022/9/11,52,False
