,庫房,料號,品名,數量,帳務日期,週,工作日
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,1,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,2,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,3,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,4,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,5,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,6,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,7,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,8,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,9,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,10,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,11,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,12,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,13,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,14,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,15,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,16,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,17,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,18,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,19,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,2,2022/5/19,20,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,21,True
54710,DLN5,N00801503,手榴彈吸引球 125-150cc,1,2022/5/31,22,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,23,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,24,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,25,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,26,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,27,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,28,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,29,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,30,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,31,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,32,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,33,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,34,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,35,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,36,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,37,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,38,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,39,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,40,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,41,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,42,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,43,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,44,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,45,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,46,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,47,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,48,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,49,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,50,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,51,True
54709,DLN5,N00801503,手榴彈吸引球 125-150cc,0,2022/5/19,52,True
