,庫房,料號,品名,數量,帳務日期,週,工作日
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,1,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,2,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,3,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,4,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,5,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,6,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,7,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,8,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,9,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,10,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,11,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,12,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,13,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,14,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,15,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,16,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,17,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,18,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,19,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,20,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,21,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,22,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,23,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,24,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,25,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,26,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,27,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,28,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,29,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,30,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,31,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,32,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,33,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,34,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,35,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,36,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,37,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,38,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,39,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,40,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,41,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,42,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,43,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,44,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,45,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,1,2022/11/16,46,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,47,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,48,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,49,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,50,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,51,True
54726,DLN5,R19269069,〞艾思瑞斯〞雙管注射器系統,0,2022/11/16,52,True
