,庫房,料號,品名,數量,帳務日期,週,工作日
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,1,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,2,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,3,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,4,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,5,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,6,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,7,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,8,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,9,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,10,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,11,False
54834,DLN5,T01612024,不再吸入口罩,1,2022/3/27,12,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,13,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,14,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,15,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,16,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,17,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,18,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,19,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,20,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,21,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,22,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,23,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,24,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,25,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,26,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,27,False
54836,DLN5,T01612024,不再吸入口罩,3,2022/7/17,28,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,29,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,30,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,31,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,32,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,33,False
54838,DLN5,T01612024,不再吸入口罩,3,2022/8/27,34,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,35,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,36,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,37,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,38,False
54839,DLN5,T01612024,不再吸入口罩,1,2022/9/29,39,True
54840,DLN5,T01612024,不再吸入口罩,1,2022/10/8,40,True
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,41,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,42,False
54841,DLN5,T01612024,不再吸入口罩,1,2022/10/26,43,True
54842,DLN5,T01612024,不再吸入口罩,1,2022/10/31,44,True
54843,DLN5,T01612024,不再吸入口罩,1,2022/11/12,45,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,46,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,47,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,48,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,49,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,50,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,51,False
54834,DLN5,T01612024,不再吸入口罩,0,2022/3/27,52,False
