,庫房,料號,品名,數量,帳務日期,週,工作日
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,1,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,2,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,3,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,4,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,5,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,6,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,7,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,8,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,9,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,10,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,11,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,12,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,13,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,14,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,15,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,16,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,17,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,18,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,19,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,20,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,21,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,22,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,23,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,24,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,25,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,26,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,27,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,28,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,29,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,30,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,31,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,32,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,33,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,34,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,35,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,36,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,1,2022/9/12,37,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,38,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,39,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,40,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,41,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,42,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,43,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,44,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,45,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,46,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,47,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,48,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,49,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,50,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,51,False
55014,DLN5,U09012304,束腹帶(12〞x 30〞)M,0,2022/9/12,52,False
