,庫房,料號,品名,數量,週,工作日,帳務日期
55254,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,1,True,2022/1/7
55255,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,2,True,2022/1/13
55256,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,3,False,2022/1/22
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,4,False,2022/1/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,5,False,2022/1/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,6,False,2022/1/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,7,False,2022/1/2
55258,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,8,True,2022/2/23
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,9,False,2022/1/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,10,False,2022/1/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,11,False,2022/1/2
55260,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,12,False,2022/3/27
55261,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,13,True,2022/3/28
55263,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,14,True,2022/4/7
55264,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,15,True,2022/4/15
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,16,False,2022/1/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,17,False,2022/1/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,18,False,2022/1/2
55265,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,19,True,2022/5/13
55266,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,20,True,2022/5/20
55269,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),3,21,False,2022/5/28
55270,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,22,True,2022/6/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,23,False,2022/1/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,24,False,2022/1/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,25,False,2022/1/2
55271,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,26,True,2022/6/28
55274,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),3,27,False,2022/7/9
55277,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),3,28,True,2022/7/15
55279,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,29,True,2022/7/20
55280,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,30,True,2022/7/27
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,31,False,2022/1/2
55282,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,32,True,2022/8/12
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,33,False,2022/1/2
55283,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,34,True,2022/8/22
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,35,False,2022/1/2
55284,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,36,False,2022/9/10
55285,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,37,False,2022/9/18
55287,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,38,False,2022/9/24
55288,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,39,True,2022/9/28
55290,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,40,False,2022/10/4
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,41,False,2022/1/2
55293,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),3,42,True,2022/10/20
55295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,43,False,2022/10/29
55296,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,44,False,2022/11/5
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,45,False,2022/1/2
55297,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,46,True,2022/11/17
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,47,False,2022/1/2
55299,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,48,True,2022/12/2
55252,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0,49,False,2022/1/2
55300,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1,50,True,2022/12/16
55302,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2,51,True,2022/12/22
55304,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),3,52,True,2022/12/29
