,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
4246,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),60.0,1,False,2022-01-09,,
4282,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),58.0,2,False,2022-01-16,,
4311,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),54.0,3,False,2022-01-23,,
4337,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),41.0,4,True,2022-01-30,,
4343,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),10.0,5,False,2022-02-02,,
4200,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),0.0,6,False,2022-01-01,202201.0,T-不計價
4354,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),19.0,7,False,2022-02-20,,
4383,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),68.0,8,False,2022-02-27,,
4430,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),72.0,9,False,2022-03-06,,
4466,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),49.0,10,False,2022-03-13,,
4506,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),78.0,11,False,2022-03-20,,
4528,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),31.0,12,False,2022-03-27,,
4538,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),13.0,13,True,2022-04-01,,
4542,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),5.0,14,True,2022-04-08,,
4543,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),1.0,15,False,2022-04-16,,
4200,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),0.0,16,False,2022-01-01,202201.0,T-不計價
4544,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),2.0,17,True,2022-04-27,,
4547,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),4.0,18,False,2022-05-03,,
4548,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),1.0,19,True,2022-05-12,,
4556,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),9.0,20,False,2022-05-22,,
4564,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),11.0,21,False,2022-05-29,,
4589,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),38.0,22,False,2022-06-05,,
4643,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),73.0,23,False,2022-06-12,,
4743,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),131.0,24,False,2022-06-19,,
4843,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),152.0,25,False,2022-06-26,,
4946,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),135.0,26,False,2022-07-03,,
5010,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),94.0,27,False,2022-07-10,,
5093,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),127.0,28,False,2022-07-17,,
5140,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),62.0,29,False,2022-07-24,,
5155,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),22.0,30,False,2022-07-31,,
5172,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),26.0,31,False,2022-08-07,,
5198,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),38.0,32,False,2022-08-14,,
5232,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),52.0,33,False,2022-08-21,,
5253,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),29.0,34,False,2022-08-28,,
5261,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),16.0,35,False,2022-09-04,,
5280,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),32.0,36,False,2022-09-11,,
5314,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),54.0,37,False,2022-09-18,,
5325,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),18.0,38,True,2022-09-23,,
5343,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),31.0,39,False,2022-10-02,,
5368,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),57.0,40,True,2022-10-09,,
5414,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),69.0,41,False,2022-10-16,,
5444,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),48.0,42,False,2022-10-23,,
5466,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),32.0,43,False,2022-10-30,,
5485,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),41.0,44,False,2022-11-06,,
5519,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),66.0,45,False,2022-11-13,,
5533,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),20.0,46,False,2022-11-20,,
5548,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),19.0,47,True,2022-11-25,,
5550,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),2.0,48,False,2022-12-04,,
5557,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),13.0,49,False,2022-12-11,,
5575,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),36.0,50,False,2022-12-18,,
5580,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),13.0,51,True,2022-12-23,,
5588,DLN8,A00120213,20CC塑膠注射空針直插  (無螺紋),42.0,52,False,2022-12-31,,
