,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,1
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-01-12,,,True,2
5845,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-01-17,,,True,3
5846,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-01-25,,,True,4
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,5
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,6
5847,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-02-17,,,True,7
5853,DLN8,A00124417,血氣分析專用採血器 3 cc,7.0,2022-02-27,,,False,8
5856,DLN8,A00124417,血氣分析專用採血器 3 cc,4.0,2022-03-06,,,False,9
5857,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-03-07,,,True,10
5863,DLN8,A00124417,血氣分析專用採血器 3 cc,7.0,2022-03-19,,,False,11
5866,DLN8,A00124417,血氣分析專用採血器 3 cc,3.0,2022-03-26,,,False,12
5867,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-03-30,,,True,13
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,14
5869,DLN8,A00124417,血氣分析專用採血器 3 cc,3.0,2022-04-17,,,False,15
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,16
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,17
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,18
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,19
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,20
5871,DLN8,A00124417,血氣分析專用採血器 3 cc,2.0,2022-05-28,,,False,21
5875,DLN8,A00124417,血氣分析專用採血器 3 cc,6.0,2022-06-05,,,False,22
5877,DLN8,A00124417,血氣分析專用採血器 3 cc,3.0,2022-06-12,,,False,23
5882,DLN8,A00124417,血氣分析專用採血器 3 cc,5.0,2022-06-18,,,False,24
5885,DLN8,A00124417,血氣分析專用採血器 3 cc,3.0,2022-06-25,,,False,25
5891,DLN8,A00124417,血氣分析專用採血器 3 cc,7.0,2022-07-02,,,False,26
5893,DLN8,A00124417,血氣分析專用採血器 3 cc,2.0,2022-07-10,,,False,27
5898,DLN8,A00124417,血氣分析專用採血器 3 cc,5.0,2022-07-15,,,True,28
5901,DLN8,A00124417,血氣分析專用採血器 3 cc,3.0,2022-07-19,,,True,29
5902,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-07-25,,,True,30
5903,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-08-06,,,False,31
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,32
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,33
5904,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-08-23,,,True,34
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,35
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,36
5905,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-09-14,,,True,37
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,38
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,39
5907,DLN8,A00124417,血氣分析專用採血器 3 cc,2.0,2022-10-03,,,False,40
5908,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-10-14,,,True,41
5910,DLN8,A00124417,血氣分析專用採血器 3 cc,2.0,2022-10-22,,,False,42
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,43
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,44
5911,DLN8,A00124417,血氣分析專用採血器 3 cc,2.0,2022-11-07,,,True,45
5912,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-11-18,,,True,46
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,47
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,48
5913,DLN8,A00124417,血氣分析專用採血器 3 cc,3.0,2022-12-07,,,True,49
5914,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-12-12,,,True,50
5844,DLN8,A00124417,血氣分析專用採血器 3 cc,0.0,2022-01-12,202201.0,T-不計價,True,51
5915,DLN8,A00124417,血氣分析專用採血器 3 cc,1.0,2022-12-30,,,True,52
