,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,1
8987,DLN8,A02320160,靜脈留置針-16G,1.0,2022-01-12,,,True,2
8988,DLN8,A02320160,靜脈留置針-16G,1.0,2022-01-19,,,True,3
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,4
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,5
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,6
8989,DLN8,A02320160,靜脈留置針-16G,2.0,2022-02-18,,,True,7
8990,DLN8,A02320160,靜脈留置針-16G,1.0,2022-02-21,,,True,8
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,9
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,10
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,11
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,12
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,13
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,14
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,15
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,16
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,17
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,18
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,19
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,20
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,21
8991,DLN8,A02320160,靜脈留置針-16G,2.0,2022-05-31,,,True,22
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,23
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,24
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,25
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,26
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,27
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,28
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,29
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,30
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,31
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,32
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,33
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,34
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,35
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,36
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,37
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,38
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,39
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,40
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,41
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,42
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,43
8994,DLN8,A02320160,靜脈留置針-16G,3.0,2022-11-04,,,True,44
8995,DLN8,A02320160,靜脈留置針-16G,1.0,2022-11-09,,,True,45
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,46
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,47
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,48
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,49
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,50
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,51
8987,DLN8,A02320160,靜脈留置針-16G,0.0,2022-01-12,202201.0,C-計價,True,52
