,庫房,料號,品名,數量,週,工作日,帳務日期
11673,DLN8,A04411285,全拋式採血器,254.0,1,False,2022-01-09
11804,DLN8,A04411285,全拋式採血器,252.0,2,False,2022-01-16
11939,DLN8,A04411285,全拋式採血器,261.0,3,False,2022-01-23
12075,DLN8,A04411285,全拋式採血器,258.0,4,True,2022-01-30
12086,DLN8,A04411285,全拋式採血器,14.0,5,False,2022-02-06
12088,DLN8,A04411285,全拋式採血器,2.0,6,True,2022-02-07
12122,DLN8,A04411285,全拋式採血器,97.0,7,False,2022-02-20
12192,DLN8,A04411285,全拋式採血器,217.0,8,False,2022-02-27
12280,DLN8,A04411285,全拋式採血器,245.0,9,False,2022-03-06
12390,DLN8,A04411285,全拋式採血器,308.0,10,False,2022-03-13
12509,DLN8,A04411285,全拋式採血器,307.0,11,False,2022-03-20
12608,DLN8,A04411285,全拋式採血器,196.0,12,False,2022-03-27
12630,DLN8,A04411285,全拋式採血器,64.0,13,True,2022-04-01
12640,DLN8,A04411285,全拋式採血器,17.0,14,False,2022-04-10
12651,DLN8,A04411285,全拋式採血器,16.0,15,False,2022-04-17
12652,DLN8,A04411285,全拋式採血器,1.0,16,True,2022-04-18
12656,DLN8,A04411285,全拋式採血器,8.0,17,False,2022-05-01
12675,DLN8,A04411285,全拋式採血器,25.0,18,False,2022-05-08
12680,DLN8,A04411285,全拋式採血器,7.0,19,False,2022-05-14
12692,DLN8,A04411285,全拋式採血器,15.0,20,False,2022-05-22
12736,DLN8,A04411285,全拋式採血器,57.0,21,False,2022-05-29
12827,DLN8,A04411285,全拋式採血器,125.0,22,False,2022-06-05
12971,DLN8,A04411285,全拋式採血器,193.0,23,False,2022-06-12
13189,DLN8,A04411285,全拋式採血器,299.0,24,False,2022-06-19
13468,DLN8,A04411285,全拋式採血器,359.0,25,False,2022-06-26
13745,DLN8,A04411285,全拋式採血器,334.0,26,False,2022-07-03
13937,DLN8,A04411285,全拋式採血器,284.0,27,False,2022-07-10
14177,DLN8,A04411285,全拋式採血器,341.0,28,False,2022-07-17
14338,DLN8,A04411285,全拋式採血器,250.0,29,False,2022-07-24
14443,DLN8,A04411285,全拋式採血器,134.0,30,False,2022-07-31
14521,DLN8,A04411285,全拋式採血器,91.0,31,False,2022-08-07
14595,DLN8,A04411285,全拋式採血器,87.0,32,False,2022-08-14
14773,DLN8,A04411285,全拋式採血器,199.0,33,False,2022-08-21
14870,DLN8,A04411285,全拋式採血器,125.0,34,False,2022-08-28
14921,DLN8,A04411285,全拋式採血器,74.0,35,False,2022-09-04
14977,DLN8,A04411285,全拋式採血器,80.0,36,False,2022-09-11
15054,DLN8,A04411285,全拋式採血器,137.0,37,False,2022-09-18
15109,DLN8,A04411285,全拋式採血器,78.0,38,False,2022-09-25
15164,DLN8,A04411285,全拋式採血器,79.0,39,False,2022-10-02
15242,DLN8,A04411285,全拋式採血器,106.0,40,True,2022-10-09
15375,DLN8,A04411285,全拋式採血器,184.0,41,False,2022-10-16
15494,DLN8,A04411285,全拋式採血器,187.0,42,False,2022-10-23
15608,DLN8,A04411285,全拋式採血器,180.0,43,False,2022-10-30
15695,DLN8,A04411285,全拋式採血器,129.0,44,False,2022-11-06
15739,DLN8,A04411285,全拋式採血器,80.0,45,False,2022-11-13
15823,DLN8,A04411285,全拋式採血器,127.0,46,False,2022-11-20
15861,DLN8,A04411285,全拋式採血器,70.0,47,True,2022-11-25
15862,DLN8,A04411285,全拋式採血器,4.0,48,False,2022-12-04
15871,DLN8,A04411285,全拋式採血器,15.0,49,False,2022-12-11
15904,DLN8,A04411285,全拋式採血器,51.0,50,False,2022-12-18
15950,DLN8,A04411285,全拋式採血器,52.0,51,False,2022-12-25
15964,DLN8,A04411285,全拋式採血器,76.0,52,False,2022-12-31
