,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,1
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,2
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,3
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,4
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,5
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,6
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,7
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,8
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,9
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,10
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,11
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,12
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,13
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,14
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,15
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,16
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,17
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,18
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,19
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,20
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,21
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,22
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,23
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,24
16291,DLN8,B00206057,彈性繃帶-非滅菌,1.0,2022-06-21,,,True,25
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,26
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,27
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,28
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,29
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,30
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,31
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,32
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,33
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,34
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,35
16292,DLN8,B00206057,彈性繃帶-非滅菌,1.0,2022-09-09,,,True,36
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,37
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,38
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,39
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,40
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,41
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,42
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,43
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,44
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,45
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,46
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,47
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,48
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,49
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,50
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,51
16291,DLN8,B00206057,彈性繃帶-非滅菌,0.0,2022-06-21,202206.0,T-不計價,True,52
