,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,1
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,2
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,3
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,4
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,5
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,6
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,7
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,8
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,9
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,10
17457,DLN8,B03647700,紙治療巾,1.0,2022-03-18,,,True,11
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,12
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,13
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,14
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,15
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,16
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,17
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,18
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,19
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,20
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,21
17458,DLN8,B03647700,紙治療巾,1.0,2022-06-05,,,False,22
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,23
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,24
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,25
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,26
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,27
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,28
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,29
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,30
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,31
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,32
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,33
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,34
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,35
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,36
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,37
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,38
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,39
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,40
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,41
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,42
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,43
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,44
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,45
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,46
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,47
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,48
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,49
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,50
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,51
17457,DLN8,B03647700,紙治療巾,0.0,2022-03-18,202203.0,T-不計價,True,52
