,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,1
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,2
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,3
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,4
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,5
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,6
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,7
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,8
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,9
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,10
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,11
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,12
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,13
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,14
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,15
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,16
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,17
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,18
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,19
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,20
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,21
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,22
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,23
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,1.0,2022-06-15,,,True,24
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,25
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,26
17706,DLN8,C00123185,二叉矽質導尿管-18Fr,0.0,2022-06-15,202206.0,C-計價,True,27
