,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
19198,DLN8,C02514164,矽質胃管  16FR,2.0,1,False,2022-01-08,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,2,True,2022-01-04,202201.0,C-計價
19199,DLN8,C02514164,矽質胃管  16FR,1.0,3,True,2022-01-20,,
19200,DLN8,C02514164,矽質胃管  16FR,1.0,4,True,2022-01-25,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,5,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,6,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,7,True,2022-01-04,202201.0,C-計價
19202,DLN8,C02514164,矽質胃管  16FR,2.0,8,False,2022-02-26,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,9,True,2022-01-04,202201.0,C-計價
19203,DLN8,C02514164,矽質胃管  16FR,1.0,10,True,2022-03-09,,
19204,DLN8,C02514164,矽質胃管  16FR,1.0,11,True,2022-03-18,,
19208,DLN8,C02514164,矽質胃管  16FR,4.0,12,True,2022-03-25,,
19209,DLN8,C02514164,矽質胃管  16FR,1.0,13,True,2022-03-30,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,14,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,15,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,16,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,17,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,18,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,19,True,2022-01-04,202201.0,C-計價
19211,DLN8,C02514164,矽質胃管  16FR,2.0,20,False,2022-05-21,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,21,True,2022-01-04,202201.0,C-計價
19212,DLN8,C02514164,矽質胃管  16FR,1.0,22,True,2022-05-30,,
19215,DLN8,C02514164,矽質胃管  16FR,3.0,23,False,2022-06-11,,
19216,DLN8,C02514164,矽質胃管  16FR,1.0,24,True,2022-06-14,,
19217,DLN8,C02514164,矽質胃管  16FR,1.0,25,True,2022-06-22,,
19219,DLN8,C02514164,矽質胃管  16FR,2.0,26,True,2022-07-01,,
19223,DLN8,C02514164,矽質胃管  16FR,4.0,27,True,2022-07-08,,
19228,DLN8,C02514164,矽質胃管  16FR,5.0,28,True,2022-07-12,,
19230,DLN8,C02514164,矽質胃管  16FR,2.0,29,True,2022-07-20,,
19231,DLN8,C02514164,矽質胃管  16FR,1.0,30,True,2022-07-29,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,31,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,32,True,2022-01-04,202201.0,C-計價
19232,DLN8,C02514164,矽質胃管  16FR,1.0,33,True,2022-08-16,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,34,True,2022-01-04,202201.0,C-計價
19233,DLN8,C02514164,矽質胃管  16FR,1.0,35,True,2022-08-31,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,36,True,2022-01-04,202201.0,C-計價
19234,DLN8,C02514164,矽質胃管  16FR,1.0,37,True,2022-09-14,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,38,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,39,True,2022-01-04,202201.0,C-計價
19235,DLN8,C02514164,矽質胃管  16FR,1.0,40,True,2022-10-09,,
19236,DLN8,C02514164,矽質胃管  16FR,1.0,41,True,2022-10-13,,
19238,DLN8,C02514164,矽質胃管  16FR,2.0,42,True,2022-10-19,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,43,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,44,True,2022-01-04,202201.0,C-計價
19239,DLN8,C02514164,矽質胃管  16FR,1.0,45,False,2022-11-13,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,46,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,47,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,48,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,49,True,2022-01-04,202201.0,C-計價
19197,DLN8,C02514164,矽質胃管  16FR,0.0,50,True,2022-01-04,202201.0,C-計價
19240,DLN8,C02514164,矽質胃管  16FR,1.0,51,True,2022-12-21,,
19197,DLN8,C02514164,矽質胃管  16FR,0.0,52,True,2022-01-04,202201.0,C-計價
