,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,1
21028,DLN8,F01700003,真空吸引瓶,4.0,2022-01-12,,,True,2
21029,DLN8,F01700003,真空吸引瓶,2.0,2022-01-19,,,True,3
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,4
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,5
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,6
21030,DLN8,F01700003,真空吸引瓶,1.0,2022-02-18,,,True,7
21031,DLN8,F01700003,真空吸引瓶,2.0,2022-02-21,,,True,8
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,9
21032,DLN8,F01700003,真空吸引瓶,2.0,2022-03-11,,,True,10
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,11
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,12
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,13
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,14
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,15
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,16
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,17
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,18
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,19
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,20
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,21
21033,DLN8,F01700003,真空吸引瓶,3.0,2022-05-31,,,True,22
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,23
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,24
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,25
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,26
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,27
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,28
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,29
21034,DLN8,F01700003,真空吸引瓶,3.0,2022-07-26,,,True,30
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,31
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,32
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,33
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,34
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,35
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,36
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,37
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,38
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,39
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,40
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,41
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,42
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,43
21038,DLN8,F01700003,真空吸引瓶,7.0,2022-11-04,,,True,44
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,45
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,46
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,47
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,48
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,49
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,50
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,51
21028,DLN8,F01700003,真空吸引瓶,0.0,2022-01-12,202201.0,T-不計價,True,52
