,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
21040,DLN8,F36005006,單一無菌引流袋 500cc,2.0,1,False,2022-01-09,,
21041,DLN8,F36005006,單一無菌引流袋 500cc,1.0,2,False,2022-01-16,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,3,True,2022-01-04,202201.0,T-不計價
21042,DLN8,F36005006,單一無菌引流袋 500cc,1.0,4,True,2022-01-28,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,5,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,6,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,7,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,8,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,9,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,10,True,2022-01-04,202201.0,T-不計價
21043,DLN8,F36005006,單一無菌引流袋 500cc,1.0,11,False,2022-03-19,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,12,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,13,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,14,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,15,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,16,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,17,True,2022-01-04,202201.0,T-不計價
21044,DLN8,F36005006,單一無菌引流袋 500cc,1.0,18,False,2022-05-02,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,19,True,2022-01-04,202201.0,T-不計價
21045,DLN8,F36005006,單一無菌引流袋 500cc,1.0,20,False,2022-05-22,,
21046,DLN8,F36005006,單一無菌引流袋 500cc,1.0,21,False,2022-05-28,,
21048,DLN8,F36005006,單一無菌引流袋 500cc,2.0,22,False,2022-06-03,,
21050,DLN8,F36005006,單一無菌引流袋 500cc,2.0,23,True,2022-06-10,,
21054,DLN8,F36005006,單一無菌引流袋 500cc,4.0,24,False,2022-06-19,,
21055,DLN8,F36005006,單一無菌引流袋 500cc,1.0,25,True,2022-06-20,,
21056,DLN8,F36005006,單一無菌引流袋 500cc,1.0,26,False,2022-07-02,,
21060,DLN8,F36005006,單一無菌引流袋 500cc,4.0,27,False,2022-07-09,,
21064,DLN8,F36005006,單一無菌引流袋 500cc,4.0,28,False,2022-07-17,,
21065,DLN8,F36005006,單一無菌引流袋 500cc,1.0,29,True,2022-07-19,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,30,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,31,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,32,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,33,True,2022-01-04,202201.0,T-不計價
21066,DLN8,F36005006,單一無菌引流袋 500cc,1.0,34,False,2022-08-27,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,35,True,2022-01-04,202201.0,T-不計價
21067,DLN8,F36005006,單一無菌引流袋 500cc,1.0,36,False,2022-09-11,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,37,True,2022-01-04,202201.0,T-不計價
21068,DLN8,F36005006,單一無菌引流袋 500cc,1.0,38,True,2022-09-19,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,39,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,40,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,41,True,2022-01-04,202201.0,T-不計價
21069,DLN8,F36005006,單一無菌引流袋 500cc,1.0,42,False,2022-10-22,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,43,True,2022-01-04,202201.0,T-不計價
21071,DLN8,F36005006,單一無菌引流袋 500cc,2.0,44,False,2022-11-05,,
21075,DLN8,F36005006,單一無菌引流袋 500cc,4.0,45,False,2022-11-13,,
21076,DLN8,F36005006,單一無菌引流袋 500cc,1.0,46,True,2022-11-17,,
21077,DLN8,F36005006,單一無菌引流袋 500cc,1.0,47,True,2022-11-21,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,48,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,49,True,2022-01-04,202201.0,T-不計價
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,50,True,2022-01-04,202201.0,T-不計價
21078,DLN8,F36005006,單一無菌引流袋 500cc,1.0,51,True,2022-12-22,,
21039,DLN8,F36005006,單一無菌引流袋 500cc,0.0,52,True,2022-01-04,202201.0,T-不計價
