,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
25571,DLN8,I20100104,心電圖電極貼片,8.0,1,False,2022-01-09,,
25572,DLN8,I20100104,心電圖電極貼片,3.0,2,True,2022-01-12,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,3,True,2022-01-07,202201.0,T-不計價
25574,DLN8,I20100104,心電圖電極貼片,6.0,4,True,2022-01-28,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,5,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,6,True,2022-01-07,202201.0,T-不計價
25576,DLN8,I20100104,心電圖電極貼片,15.0,7,False,2022-02-19,,
25577,DLN8,I20100104,心電圖電極貼片,3.0,8,False,2022-02-27,,
25579,DLN8,I20100104,心電圖電極貼片,6.0,9,True,2022-03-02,,
25583,DLN8,I20100104,心電圖電極貼片,21.0,10,False,2022-03-13,,
25586,DLN8,I20100104,心電圖電極貼片,9.0,11,True,2022-03-14,,
25587,DLN8,I20100104,心電圖電極貼片,3.0,12,True,2022-03-23,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,13,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,14,True,2022-01-07,202201.0,T-不計價
25588,DLN8,I20100104,心電圖電極貼片,3.0,15,False,2022-04-17,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,16,True,2022-01-07,202201.0,T-不計價
25589,DLN8,I20100104,心電圖電極貼片,3.0,17,True,2022-04-27,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,18,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,19,True,2022-01-07,202201.0,T-不計價
25590,DLN8,I20100104,心電圖電極貼片,12.0,20,True,2022-05-16,,
25591,DLN8,I20100104,心電圖電極貼片,3.0,21,True,2022-05-26,,
25592,DLN8,I20100104,心電圖電極貼片,3.0,22,True,2022-05-31,,
25595,DLN8,I20100104,心電圖電極貼片,12.0,23,True,2022-06-10,,
25599,DLN8,I20100104,心電圖電極貼片,12.0,24,False,2022-06-18,,
25605,DLN8,I20100104,心電圖電極貼片,18.0,25,False,2022-06-26,,
25610,DLN8,I20100104,心電圖電極貼片,15.0,26,False,2022-07-03,,
25615,DLN8,I20100104,心電圖電極貼片,15.0,27,False,2022-07-09,,
25616,DLN8,I20100104,心電圖電極貼片,3.0,28,False,2022-07-17,,
25618,DLN8,I20100104,心電圖電極貼片,6.0,29,False,2022-07-23,,
25619,DLN8,I20100104,心電圖電極貼片,3.0,30,True,2022-07-25,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,31,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,32,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,33,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,34,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,35,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,36,True,2022-01-07,202201.0,T-不計價
25620,DLN8,I20100104,心電圖電極貼片,3.0,37,False,2022-09-17,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,38,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,39,True,2022-01-07,202201.0,T-不計價
25621,DLN8,I20100104,心電圖電極貼片,3.0,40,False,2022-10-07,,
25622,DLN8,I20100104,心電圖電極貼片,3.0,41,True,2022-10-14,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,42,True,2022-01-07,202201.0,T-不計價
25623,DLN8,I20100104,心電圖電極貼片,3.0,43,True,2022-10-27,,
25624,DLN8,I20100104,心電圖電極貼片,3.0,44,False,2022-11-06,,
25626,DLN8,I20100104,心電圖電極貼片,6.0,45,True,2022-11-08,,
25627,DLN8,I20100104,心電圖電極貼片,3.0,46,True,2022-11-16,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,47,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,48,True,2022-01-07,202201.0,T-不計價
25628,DLN8,I20100104,心電圖電極貼片,3.0,49,True,2022-12-06,,
25569,DLN8,I20100104,心電圖電極貼片,0.0,50,True,2022-01-07,202201.0,T-不計價
25569,DLN8,I20100104,心電圖電極貼片,0.0,51,True,2022-01-07,202201.0,T-不計價
25629,DLN8,I20100104,心電圖電極貼片,3.0,52,False,2022-12-31,,
