,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,1
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,2
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,3
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,4
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,5
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,6
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,7
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,8
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,9
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,10
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,11
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,12
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,13
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,14
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,15
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,16
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,17
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,18
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,19
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,20
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,21
25840,DLN8,J00300505,小腿尿袋,2.0,2022-06-03,,,False,22
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,23
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,24
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,25
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,26
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,27
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,28
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,29
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,30
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,31
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,32
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,33
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,34
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,35
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,36
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,37
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,38
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,39
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,40
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,41
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,42
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,43
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,44
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,45
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,46
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,47
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,48
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,49
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,50
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,51
25840,DLN8,J00300505,小腿尿袋,0.0,2022-06-03,202206.0,T-不計價,False,52
