,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
25886,DLN8,K80004044,Push Button Blood Collection,42.0,1,False,2022-01-09,,
25915,DLN8,K80004044,Push Button Blood Collection,36.0,2,False,2022-01-15,,
25945,DLN8,K80004044,Push Button Blood Collection,37.0,3,False,2022-01-23,,
25971,DLN8,K80004044,Push Button Blood Collection,31.0,4,True,2022-01-30,,
25973,DLN8,K80004044,Push Button Blood Collection,2.0,5,False,2022-01-31,,
25852,DLN8,K80004044,Push Button Blood Collection,0.0,6,False,2022-01-01,202201.0,T-不計價
25981,DLN8,K80004044,Push Button Blood Collection,15.0,7,False,2022-02-19,,
26007,DLN8,K80004044,Push Button Blood Collection,38.0,8,False,2022-02-27,,
26030,DLN8,K80004044,Push Button Blood Collection,32.0,9,False,2022-03-06,,
26059,DLN8,K80004044,Push Button Blood Collection,34.0,10,False,2022-03-13,,
26088,DLN8,K80004044,Push Button Blood Collection,40.0,11,False,2022-03-20,,
26114,DLN8,K80004044,Push Button Blood Collection,35.0,12,False,2022-03-27,,
26129,DLN8,K80004044,Push Button Blood Collection,19.0,13,True,2022-04-01,,
26131,DLN8,K80004044,Push Button Blood Collection,3.0,14,True,2022-04-08,,
26134,DLN8,K80004044,Push Button Blood Collection,3.0,15,True,2022-04-15,,
26135,DLN8,K80004044,Push Button Blood Collection,1.0,16,True,2022-04-18,,
26137,DLN8,K80004044,Push Button Blood Collection,3.0,17,False,2022-05-01,,
26139,DLN8,K80004044,Push Button Blood Collection,3.0,18,False,2022-05-03,,
26149,DLN8,K80004044,Push Button Blood Collection,12.0,19,False,2022-05-14,,
26155,DLN8,K80004044,Push Button Blood Collection,6.0,20,False,2022-05-22,,
26164,DLN8,K80004044,Push Button Blood Collection,13.0,21,False,2022-05-29,,
26175,DLN8,K80004044,Push Button Blood Collection,22.0,22,False,2022-06-05,,
26202,DLN8,K80004044,Push Button Blood Collection,56.0,23,False,2022-06-12,,
26252,DLN8,K80004044,Push Button Blood Collection,75.0,24,False,2022-06-19,,
26300,DLN8,K80004044,Push Button Blood Collection,69.0,25,False,2022-06-26,,
26339,DLN8,K80004044,Push Button Blood Collection,52.0,26,False,2022-07-03,,
26383,DLN8,K80004044,Push Button Blood Collection,59.0,27,False,2022-07-10,,
26424,DLN8,K80004044,Push Button Blood Collection,54.0,28,False,2022-07-17,,
26451,DLN8,K80004044,Push Button Blood Collection,40.0,29,False,2022-07-23,,
26477,DLN8,K80004044,Push Button Blood Collection,38.0,30,False,2022-07-31,,
26497,DLN8,K80004044,Push Button Blood Collection,27.0,31,False,2022-08-07,,
26504,DLN8,K80004044,Push Button Blood Collection,12.0,32,False,2022-08-14,,
26521,DLN8,K80004044,Push Button Blood Collection,18.0,33,False,2022-08-21,,
26536,DLN8,K80004044,Push Button Blood Collection,20.0,34,False,2022-08-27,,
26547,DLN8,K80004044,Push Button Blood Collection,19.0,35,False,2022-09-03,,
26556,DLN8,K80004044,Push Button Blood Collection,18.0,36,True,2022-09-09,,
26576,DLN8,K80004044,Push Button Blood Collection,31.0,37,False,2022-09-18,,
26589,DLN8,K80004044,Push Button Blood Collection,14.0,38,False,2022-09-25,,
26601,DLN8,K80004044,Push Button Blood Collection,17.0,39,False,2022-10-02,,
26620,DLN8,K80004044,Push Button Blood Collection,21.0,40,False,2022-10-07,,
26641,DLN8,K80004044,Push Button Blood Collection,23.0,41,False,2022-10-15,,
26669,DLN8,K80004044,Push Button Blood Collection,44.0,42,False,2022-10-23,,
26697,DLN8,K80004044,Push Button Blood Collection,39.0,43,False,2022-10-29,,
26716,DLN8,K80004044,Push Button Blood Collection,34.0,44,False,2022-11-05,,
26728,DLN8,K80004044,Push Button Blood Collection,15.0,45,False,2022-11-13,,
26747,DLN8,K80004044,Push Button Blood Collection,31.0,46,False,2022-11-20,,
26756,DLN8,K80004044,Push Button Blood Collection,14.0,47,True,2022-11-25,,
26757,DLN8,K80004044,Push Button Blood Collection,1.0,48,True,2022-11-28,,
26759,DLN8,K80004044,Push Button Blood Collection,3.0,49,True,2022-12-09,,
26767,DLN8,K80004044,Push Button Blood Collection,13.0,50,False,2022-12-17,,
26783,DLN8,K80004044,Push Button Blood Collection,25.0,51,False,2022-12-25,,
26785,DLN8,K80004044,Push Button Blood Collection,13.0,52,True,2022-12-30,,
