,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,1
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,2
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,3
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,4
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,5
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,6
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,7
26786,DLN8,K82430329,痰盒-綠蓋,1.0,2022-02-21,,,True,8
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,9
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,10
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,11
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,12
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,13
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,14
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,15
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,16
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,17
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,18
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,19
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,20
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,21
26789,DLN8,K82430329,痰盒-綠蓋,6.0,2022-06-05,,,False,22
26791,DLN8,K82430329,痰盒-綠蓋,3.0,2022-06-10,,,True,23
26794,DLN8,K82430329,痰盒-綠蓋,3.0,2022-06-15,,,True,24
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,25
26796,DLN8,K82430329,痰盒-綠蓋,3.0,2022-07-01,,,True,26
26802,DLN8,K82430329,痰盒-綠蓋,9.0,2022-07-10,,,False,27
26805,DLN8,K82430329,痰盒-綠蓋,4.0,2022-07-17,,,False,28
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,29
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,30
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,31
26806,DLN8,K82430329,痰盒-綠蓋,1.0,2022-08-11,,,True,32
26807,DLN8,K82430329,痰盒-綠蓋,2.0,2022-08-17,,,True,33
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,34
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,35
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,36
26808,DLN8,K82430329,痰盒-綠蓋,2.0,2022-09-17,,,False,37
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,38
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,39
26810,DLN8,K82430329,痰盒-綠蓋,3.0,2022-10-09,,,True,40
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,41
26811,DLN8,K82430329,痰盒-綠蓋,1.0,2022-10-19,,,True,42
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,43
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,44
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,45
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,46
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,47
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,48
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,49
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,50
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,51
26786,DLN8,K82430329,痰盒-綠蓋,0.0,2022-02-21,202202.0,T-不計價,True,52
