,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
26913,DLN8,T04220215,微量噴霧器,1.0,1,False,2022-01-03,,
26916,DLN8,T04220215,微量噴霧器,3.0,2,True,2022-01-13,,
26921,DLN8,T04220215,微量噴霧器,5.0,3,True,2022-01-21,,
26925,DLN8,T04220215,微量噴霧器,4.0,4,True,2022-01-30,,
26912,DLN8,T04220215,微量噴霧器,0.0,5,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,6,False,2022-01-01,202201.0,T-不計價
26926,DLN8,T04220215,微量噴霧器,1.0,7,True,2022-02-17,,
26931,DLN8,T04220215,微量噴霧器,5.0,8,False,2022-02-27,,
26933,DLN8,T04220215,微量噴霧器,2.0,9,False,2022-03-06,,
26938,DLN8,T04220215,微量噴霧器,5.0,10,False,2022-03-12,,
26944,DLN8,T04220215,微量噴霧器,6.0,11,False,2022-03-19,,
26948,DLN8,T04220215,微量噴霧器,4.0,12,True,2022-03-25,,
26912,DLN8,T04220215,微量噴霧器,0.0,13,False,2022-01-01,202201.0,T-不計價
26949,DLN8,T04220215,微量噴霧器,1.0,14,False,2022-04-09,,
26912,DLN8,T04220215,微量噴霧器,0.0,15,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,16,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,17,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,18,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,19,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,20,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,21,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,22,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,23,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,24,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,25,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,26,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,27,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,28,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,29,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,30,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,31,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,32,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,33,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,34,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,35,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,36,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,37,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,38,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,39,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,40,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,41,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,42,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,43,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,44,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,45,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,46,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,47,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,48,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,0.0,49,False,2022-01-01,202201.0,T-不計價
26950,DLN8,T04220215,微量噴霧器,1.0,50,True,2022-12-15,,
26912,DLN8,T04220215,微量噴霧器,0.0,51,False,2022-01-01,202201.0,T-不計價
26912,DLN8,T04220215,微量噴霧器,1.0,52,False,2022-01-01,,
