,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,1
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,2
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,3
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,4
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,5
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,6
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,7
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),1.0,2022-02-23,,,True,8
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,9
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,10
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,11
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,12
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,13
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,14
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,15
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,16
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,17
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,18
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,19
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,20
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,21
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,22
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,23
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,24
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,25
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,26
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,27
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,28
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,29
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,30
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,31
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,32
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,33
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,34
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,35
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,36
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,37
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,38
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,39
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,40
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,41
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,42
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,43
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,44
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,45
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,46
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,47
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,48
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,49
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,50
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,51
26951,DLN8,T50411323,單一使用潮濕瓶 (未滅菌),0.0,2022-02-23,202202.0,T-不計價,True,52
