,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,1
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,2
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,3
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,4
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,5
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,6
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,7
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,8
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,9
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,10
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,11
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,12
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,13
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,14
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,15
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,16
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,17
27295,DLN8,V02204118,手術刀片,1.0,2022-05-02,,,False,18
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,19
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,20
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,21
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,22
27296,DLN8,V02204118,手術刀片,1.0,2022-06-10,,,True,23
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,24
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,25
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,26
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,27
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,28
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,29
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,30
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,31
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,32
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,33
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,34
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,35
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,36
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,37
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,38
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,39
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,40
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,41
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,42
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,43
27297,DLN8,V02204118,手術刀片,1.0,2022-10-31,,,True,44
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,45
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,46
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,47
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,48
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,49
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,50
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,51
27295,DLN8,V02204118,手術刀片,0.0,2022-05-02,202205.0,T-不計價,False,52
