,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,1
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,2
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,3
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2022-01-25,,,True,4
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,5
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,6
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,7
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,8
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,9
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,10
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,11
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,12
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,13
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,14
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,15
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,16
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,17
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,18
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,19
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,20
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,21
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,22
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,23
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,24
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,25
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,26
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,27
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,28
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,29
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,30
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,31
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,32
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,33
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,34
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,35
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,36
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,37
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,38
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,39
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,40
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,41
27308,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),2.0,2022-10-21,,,True,42
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,43
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,44
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,45
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,46
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,47
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,48
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,49
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,50
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,51
27306,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2022-01-25,202201.0,C-計價,True,52
