,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
16,DLN6,A00120025,2.5-3cc PVC 注射空針,0,2022-01-30,202201.0,T-不計價,True,1
16,DLN6,A00120025,2.5-3cc PVC 注射空針,0,2022-01-30,202201.0,T-不計價,True,2
16,DLN6,A00120025,2.5-3cc PVC 注射空針,0,2022-01-30,202201.0,T-不計價,True,3
16,DLN6,A00120025,2.5-3cc PVC 注射空針,3,2022-01-30,,,True,4
17,DLN6,A00120025,2.5-3cc PVC 注射空針,1,2022-02-04,,,False,5
18,DLN6,A00120025,2.5-3cc PVC 注射空針,2,2022-02-12,,,False,6
19,DLN6,A00120025,2.5-3cc PVC 注射空針,3,2022-02-15,,,True,7
16,DLN6,A00120025,2.5-3cc PVC 注射空針,0,2022-01-30,202201.0,T-不計價,True,8
20,DLN6,A00120025,2.5-3cc PVC 注射空針,1,2022-03-03,,,True,9
27,DLN6,A00120025,2.5-3cc PVC 注射空針,9,2022-03-13,,,False,10
81,DLN6,A00120025,2.5-3cc PVC 注射空針,90,2022-03-20,,,False,11
176,DLN6,A00120025,2.5-3cc PVC 注射空針,155,2022-03-27,,,False,12
289,DLN6,A00120025,2.5-3cc PVC 注射空針,204,2022-04-03,,,False,13
417,DLN6,A00120025,2.5-3cc PVC 注射空針,226,2022-04-10,,,False,14
543,DLN6,A00120025,2.5-3cc PVC 注射空針,225,2022-04-17,,,False,15
628,DLN6,A00120025,2.5-3cc PVC 注射空針,132,2022-04-24,,,True,16
742,DLN6,A00120025,2.5-3cc PVC 注射空針,197,2022-05-01,,,False,17
834,DLN6,A00120025,2.5-3cc PVC 注射空針,157,2022-05-08,,,False,18
917,DLN6,A00120025,2.5-3cc PVC 注射空針,149,2022-05-15,,,False,19
988,DLN6,A00120025,2.5-3cc PVC 注射空針,106,2022-05-22,,,False,20
1079,DLN6,A00120025,2.5-3cc PVC 注射空針,140,2022-05-29,,,False,21
1137,DLN6,A00120025,2.5-3cc PVC 注射空針,91,2022-06-05,,,False,22
1235,DLN6,A00120025,2.5-3cc PVC 注射空針,135,2022-06-12,,,False,23
1336,DLN6,A00120025,2.5-3cc PVC 注射空針,144,2022-06-19,,,False,24
1426,DLN6,A00120025,2.5-3cc PVC 注射空針,129,2022-06-26,,,False,25
1513,DLN6,A00120025,2.5-3cc PVC 注射空針,125,2022-07-03,,,False,26
1539,DLN6,A00120025,2.5-3cc PVC 注射空針,31,2022-07-10,,,False,27
1577,DLN6,A00120025,2.5-3cc PVC 注射空針,64,2022-07-17,,,False,28
1638,DLN6,A00120025,2.5-3cc PVC 注射空針,115,2022-07-24,,,False,29
1728,DLN6,A00120025,2.5-3cc PVC 注射空針,140,2022-07-31,,,False,30
1820,DLN6,A00120025,2.5-3cc PVC 注射空針,147,2022-08-07,,,False,31
1915,DLN6,A00120025,2.5-3cc PVC 注射空針,158,2022-08-14,,,False,32
2017,DLN6,A00120025,2.5-3cc PVC 注射空針,164,2022-08-21,,,False,33
2136,DLN6,A00120025,2.5-3cc PVC 注射空針,195,2022-08-28,,,False,34
2241,DLN6,A00120025,2.5-3cc PVC 注射空針,173,2022-09-04,,,False,35
2331,DLN6,A00120025,2.5-3cc PVC 注射空針,138,2022-09-11,,,False,36
2445,DLN6,A00120025,2.5-3cc PVC 注射空針,224,2022-09-18,,,False,37
2560,DLN6,A00120025,2.5-3cc PVC 注射空針,208,2022-09-25,,,False,38
2631,DLN6,A00120025,2.5-3cc PVC 注射空針,89,2022-10-02,,,False,39
2704,DLN6,A00120025,2.5-3cc PVC 注射空針,107,2022-10-09,,,True,40
2784,DLN6,A00120025,2.5-3cc PVC 注射空針,132,2022-10-16,,,False,41
2854,DLN6,A00120025,2.5-3cc PVC 注射空針,123,2022-10-23,,,False,42
2928,DLN6,A00120025,2.5-3cc PVC 注射空針,121,2022-10-30,,,False,43
3029,DLN6,A00120025,2.5-3cc PVC 注射空針,176,2022-11-06,,,False,44
3129,DLN6,A00120025,2.5-3cc PVC 注射空針,164,2022-11-13,,,False,45
3228,DLN6,A00120025,2.5-3cc PVC 注射空針,173,2022-11-20,,,False,46
3330,DLN6,A00120025,2.5-3cc PVC 注射空針,180,2022-11-27,,,False,47
3426,DLN6,A00120025,2.5-3cc PVC 注射空針,167,2022-12-04,,,False,48
3519,DLN6,A00120025,2.5-3cc PVC 注射空針,154,2022-12-11,,,False,49
3602,DLN6,A00120025,2.5-3cc PVC 注射空針,126,2022-12-18,,,False,50
3710,DLN6,A00120025,2.5-3cc PVC 注射空針,162,2022-12-25,,,False,51
3791,DLN6,A00120025,2.5-3cc PVC 注射空針,109,2022-12-31,,,False,52
