,庫房,料號,品名,數量,週,工作日,帳務日期
24037,DLN6,A02120180,塑膠注射針頭,322,1,False,2022-01-09
24219,DLN6,A02120180,塑膠注射針頭,341,2,False,2022-01-16
24350,DLN6,A02120180,塑膠注射針頭,202,3,False,2022-01-23
24488,DLN6,A02120180,塑膠注射針頭,265,4,True,2022-01-30
24624,DLN6,A02120180,塑膠注射針頭,281,5,False,2022-02-06
24803,DLN6,A02120180,塑膠注射針頭,314,6,False,2022-02-13
24957,DLN6,A02120180,塑膠注射針頭,269,7,False,2022-02-20
25109,DLN6,A02120180,塑膠注射針頭,268,8,False,2022-02-27
25281,DLN6,A02120180,塑膠注射針頭,330,9,False,2022-03-06
25458,DLN6,A02120180,塑膠注射針頭,338,10,False,2022-03-13
25664,DLN6,A02120180,塑膠注射針頭,393,11,False,2022-03-20
25854,DLN6,A02120180,塑膠注射針頭,354,12,False,2022-03-27
26047,DLN6,A02120180,塑膠注射針頭,360,13,False,2022-04-03
26237,DLN6,A02120180,塑膠注射針頭,374,14,False,2022-04-10
26460,DLN6,A02120180,塑膠注射針頭,448,15,False,2022-04-17
26620,DLN6,A02120180,塑膠注射針頭,376,16,True,2022-04-24
26809,DLN6,A02120180,塑膠注射針頭,395,17,False,2022-05-01
27016,DLN6,A02120180,塑膠注射針頭,504,18,False,2022-05-08
27242,DLN6,A02120180,塑膠注射針頭,468,19,False,2022-05-15
27432,DLN6,A02120180,塑膠注射針頭,357,20,False,2022-05-22
27644,DLN6,A02120180,塑膠注射針頭,396,21,False,2022-05-29
27841,DLN6,A02120180,塑膠注射針頭,350,22,False,2022-06-05
28068,DLN6,A02120180,塑膠注射針頭,491,23,False,2022-06-12
28277,DLN6,A02120180,塑膠注射針頭,418,24,False,2022-06-19
28486,DLN6,A02120180,塑膠注射針頭,394,25,False,2022-06-26
28712,DLN6,A02120180,塑膠注射針頭,416,26,False,2022-07-03
28796,DLN6,A02120180,塑膠注射針頭,143,27,False,2022-07-10
28860,DLN6,A02120180,塑膠注射針頭,117,28,False,2022-07-17
29028,DLN6,A02120180,塑膠注射針頭,326,29,False,2022-07-24
29239,DLN6,A02120180,塑膠注射針頭,404,30,False,2022-07-31
29437,DLN6,A02120180,塑膠注射針頭,386,31,False,2022-08-07
29620,DLN6,A02120180,塑膠注射針頭,286,32,False,2022-08-14
29826,DLN6,A02120180,塑膠注射針頭,432,33,False,2022-08-21
30046,DLN6,A02120180,塑膠注射針頭,384,34,False,2022-08-28
30266,DLN6,A02120180,塑膠注射針頭,413,35,False,2022-09-04
30488,DLN6,A02120180,塑膠注射針頭,477,36,False,2022-09-11
30704,DLN6,A02120180,塑膠注射針頭,387,37,False,2022-09-18
30892,DLN6,A02120180,塑膠注射針頭,386,38,False,2022-09-25
31091,DLN6,A02120180,塑膠注射針頭,325,39,False,2022-10-02
31276,DLN6,A02120180,塑膠注射針頭,373,40,True,2022-10-09
31460,DLN6,A02120180,塑膠注射針頭,385,41,False,2022-10-16
31593,DLN6,A02120180,塑膠注射針頭,264,42,False,2022-10-23
31749,DLN6,A02120180,塑膠注射針頭,314,43,False,2022-10-30
31953,DLN6,A02120180,塑膠注射針頭,422,44,False,2022-11-06
32145,DLN6,A02120180,塑膠注射針頭,434,45,False,2022-11-13
32347,DLN6,A02120180,塑膠注射針頭,460,46,False,2022-11-20
32504,DLN6,A02120180,塑膠注射針頭,360,47,False,2022-11-27
32712,DLN6,A02120180,塑膠注射針頭,492,48,False,2022-12-04
32912,DLN6,A02120180,塑膠注射針頭,397,49,False,2022-12-11
33118,DLN6,A02120180,塑膠注射針頭,466,50,False,2022-12-18
33314,DLN6,A02120180,塑膠注射針頭,396,51,False,2022-12-25
33481,DLN6,A02120180,塑膠注射針頭,515,52,False,2022-12-31
