,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
33629,DLN6,A02320186,靜脈留置針-18G,1,1,True,2022-01-07,,
33631,DLN6,A02320186,靜脈留置針-18G,3,2,False,2022-01-16,,
33629,DLN6,A02320186,靜脈留置針-18G,0,3,True,2022-01-07,202201.0,C-計價
33633,DLN6,A02320186,靜脈留置針-18G,4,4,True,2022-01-26,,
33629,DLN6,A02320186,靜脈留置針-18G,0,5,True,2022-01-07,202201.0,C-計價
33629,DLN6,A02320186,靜脈留置針-18G,0,6,True,2022-01-07,202201.0,C-計價
33634,DLN6,A02320186,靜脈留置針-18G,1,7,True,2022-02-14,,
33638,DLN6,A02320186,靜脈留置針-18G,7,8,False,2022-02-26,,
33640,DLN6,A02320186,靜脈留置針-18G,2,9,True,2022-03-03,,
33642,DLN6,A02320186,靜脈留置針-18G,2,10,True,2022-03-09,,
33644,DLN6,A02320186,靜脈留置針-18G,4,11,False,2022-03-19,,
33645,DLN6,A02320186,靜脈留置針-18G,2,12,True,2022-03-24,,
33648,DLN6,A02320186,靜脈留置針-18G,3,13,True,2022-04-01,,
33653,DLN6,A02320186,靜脈留置針-18G,7,14,False,2022-04-09,,
33655,DLN6,A02320186,靜脈留置針-18G,2,15,True,2022-04-14,,
33629,DLN6,A02320186,靜脈留置針-18G,0,16,True,2022-01-07,202201.0,C-計價
33658,DLN6,A02320186,靜脈留置針-18G,4,17,True,2022-04-29,,
33660,DLN6,A02320186,靜脈留置針-18G,2,18,True,2022-05-05,,
33661,DLN6,A02320186,靜脈留置針-18G,1,19,True,2022-05-13,,
33662,DLN6,A02320186,靜脈留置針-18G,2,20,True,2022-05-16,,
33629,DLN6,A02320186,靜脈留置針-18G,0,21,True,2022-01-07,202201.0,C-計價
33663,DLN6,A02320186,靜脈留置針-18G,1,22,True,2022-06-02,,
33664,DLN6,A02320186,靜脈留置針-18G,2,23,True,2022-06-07,,
33665,DLN6,A02320186,靜脈留置針-18G,2,24,True,2022-06-13,,
33667,DLN6,A02320186,靜脈留置針-18G,3,25,True,2022-06-23,,
33668,DLN6,A02320186,靜脈留置針-18G,1,26,True,2022-06-27,,
33629,DLN6,A02320186,靜脈留置針-18G,0,27,True,2022-01-07,202201.0,C-計價
33629,DLN6,A02320186,靜脈留置針-18G,0,28,True,2022-01-07,202201.0,C-計價
33669,DLN6,A02320186,靜脈留置針-18G,1,29,True,2022-07-20,,
33670,DLN6,A02320186,靜脈留置針-18G,1,30,True,2022-07-26,,
33671,DLN6,A02320186,靜脈留置針-18G,1,31,True,2022-08-02,,
33674,DLN6,A02320186,靜脈留置針-18G,3,32,False,2022-08-13,,
33676,DLN6,A02320186,靜脈留置針-18G,2,33,True,2022-08-19,,
33679,DLN6,A02320186,靜脈留置針-18G,5,34,True,2022-08-26,,
33681,DLN6,A02320186,靜脈留置針-18G,2,35,True,2022-08-29,,
33682,DLN6,A02320186,靜脈留置針-18G,1,36,True,2022-09-09,,
33683,DLN6,A02320186,靜脈留置針-18G,1,37,False,2022-09-12,,
33629,DLN6,A02320186,靜脈留置針-18G,0,38,True,2022-01-07,202201.0,C-計價
33684,DLN6,A02320186,靜脈留置針-18G,1,39,True,2022-09-26,,
33629,DLN6,A02320186,靜脈留置針-18G,0,40,True,2022-01-07,202201.0,C-計價
33629,DLN6,A02320186,靜脈留置針-18G,0,41,True,2022-01-07,202201.0,C-計價
33629,DLN6,A02320186,靜脈留置針-18G,0,42,True,2022-01-07,202201.0,C-計價
33685,DLN6,A02320186,靜脈留置針-18G,1,43,True,2022-10-25,,
33686,DLN6,A02320186,靜脈留置針-18G,2,44,True,2022-10-31,,
33689,DLN6,A02320186,靜脈留置針-18G,3,45,True,2022-11-11,,
33691,DLN6,A02320186,靜脈留置針-18G,2,46,True,2022-11-15,,
33629,DLN6,A02320186,靜脈留置針-18G,0,47,True,2022-01-07,202201.0,C-計價
33693,DLN6,A02320186,靜脈留置針-18G,4,48,False,2022-12-04,,
33629,DLN6,A02320186,靜脈留置針-18G,0,49,True,2022-01-07,202201.0,C-計價
33694,DLN6,A02320186,靜脈留置針-18G,1,50,True,2022-12-12,,
33696,DLN6,A02320186,靜脈留置針-18G,2,51,True,2022-12-20,,
33698,DLN6,A02320186,靜脈留置針-18G,2,52,True,2022-12-29,,
