,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
42521,DLN6,A04300023,急速輸血套附Y型管,3,1,True,2022-01-06,,
42531,DLN6,A04300023,急速輸血套附Y型管,10,2,False,2022-01-15,,
42536,DLN6,A04300023,急速輸血套附Y型管,5,3,True,2022-01-21,,
42545,DLN6,A04300023,急速輸血套附Y型管,9,4,True,2022-01-28,,
42553,DLN6,A04300023,急速輸血套附Y型管,10,5,False,2022-02-05,,
42560,DLN6,A04300023,急速輸血套附Y型管,8,6,True,2022-02-11,,
42569,DLN6,A04300023,急速輸血套附Y型管,9,7,False,2022-02-19,,
42580,DLN6,A04300023,急速輸血套附Y型管,11,8,False,2022-02-27,,
42588,DLN6,A04300023,急速輸血套附Y型管,9,9,False,2022-03-05,,
42593,DLN6,A04300023,急速輸血套附Y型管,5,10,True,2022-03-10,,
42598,DLN6,A04300023,急速輸血套附Y型管,5,11,False,2022-03-20,,
42613,DLN6,A04300023,急速輸血套附Y型管,18,12,False,2022-03-26,,
42631,DLN6,A04300023,急速輸血套附Y型管,20,13,True,2022-04-02,,
42636,DLN6,A04300023,急速輸血套附Y型管,6,14,False,2022-04-10,,
42645,DLN6,A04300023,急速輸血套附Y型管,10,15,True,2022-04-15,,
42655,DLN6,A04300023,急速輸血套附Y型管,11,16,True,2022-04-24,,
42664,DLN6,A04300023,急速輸血套附Y型管,9,17,False,2022-05-01,,
42674,DLN6,A04300023,急速輸血套附Y型管,10,18,False,2022-05-08,,
42684,DLN6,A04300023,急速輸血套附Y型管,10,19,False,2022-05-15,,
42690,DLN6,A04300023,急速輸血套附Y型管,6,20,False,2022-05-22,,
42704,DLN6,A04300023,急速輸血套附Y型管,17,21,False,2022-05-29,,
42712,DLN6,A04300023,急速輸血套附Y型管,8,22,False,2022-06-05,,
42719,DLN6,A04300023,急速輸血套附Y型管,7,23,False,2022-06-12,,
42732,DLN6,A04300023,急速輸血套附Y型管,14,24,False,2022-06-19,,
42738,DLN6,A04300023,急速輸血套附Y型管,6,25,False,2022-06-26,,
42750,DLN6,A04300023,急速輸血套附Y型管,12,26,False,2022-07-03,,
42754,DLN6,A04300023,急速輸血套附Y型管,5,27,True,2022-07-07,,
42517,DLN6,A04300023,急速輸血套附Y型管,0,28,False,2022-01-01,202201.0,C-計價
42764,DLN6,A04300023,急速輸血套附Y型管,10,29,False,2022-07-23,,
42771,DLN6,A04300023,急速輸血套附Y型管,7,30,False,2022-07-30,,
42782,DLN6,A04300023,急速輸血套附Y型管,13,31,False,2022-08-07,,
42793,DLN6,A04300023,急速輸血套附Y型管,11,32,False,2022-08-14,,
42800,DLN6,A04300023,急速輸血套附Y型管,7,33,False,2022-08-21,,
42806,DLN6,A04300023,急速輸血套附Y型管,6,34,False,2022-08-27,,
42819,DLN6,A04300023,急速輸血套附Y型管,17,35,False,2022-09-03,,
42827,DLN6,A04300023,急速輸血套附Y型管,8,36,False,2022-09-10,,
42838,DLN6,A04300023,急速輸血套附Y型管,11,37,False,2022-09-18,,
42851,DLN6,A04300023,急速輸血套附Y型管,17,38,False,2022-09-25,,
42858,DLN6,A04300023,急速輸血套附Y型管,8,39,True,2022-09-30,,
42872,DLN6,A04300023,急速輸血套附Y型管,15,40,True,2022-10-08,,
42876,DLN6,A04300023,急速輸血套附Y型管,5,41,True,2022-10-14,,
42881,DLN6,A04300023,急速輸血套附Y型管,7,42,True,2022-10-21,,
42890,DLN6,A04300023,急速輸血套附Y型管,11,43,False,2022-10-30,,
42898,DLN6,A04300023,急速輸血套附Y型管,9,44,False,2022-11-06,,
42913,DLN6,A04300023,急速輸血套附Y型管,18,45,False,2022-11-13,,
42924,DLN6,A04300023,急速輸血套附Y型管,13,46,False,2022-11-20,,
42930,DLN6,A04300023,急速輸血套附Y型管,8,47,False,2022-11-27,,
42935,DLN6,A04300023,急速輸血套附Y型管,6,48,False,2022-12-03,,
42951,DLN6,A04300023,急速輸血套附Y型管,17,49,False,2022-12-11,,
42962,DLN6,A04300023,急速輸血套附Y型管,11,50,False,2022-12-18,,
42966,DLN6,A04300023,急速輸血套附Y型管,5,51,False,2022-12-24,,
42968,DLN6,A04300023,急速輸血套附Y型管,4,52,True,2022-12-29,,
