,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,1
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,2
58392,DLN6,A06005134,組織切片針 胖胖針,1,2022-01-21,,,True,3
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,4
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,5
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,6
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,7
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,8
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,9
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,10
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,11
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,12
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,13
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,14
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,15
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,16
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,17
58393,DLN6,A06005134,組織切片針 胖胖針,1,2022-05-06,,,True,18
58394,DLN6,A06005134,組織切片針 胖胖針,1,2022-05-13,,,True,19
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,20
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,21
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,22
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,23
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,24
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,25
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,26
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,27
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,28
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,29
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,30
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,31
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,32
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,33
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,34
58395,DLN6,A06005134,組織切片針 胖胖針,1,2022-09-02,,,True,35
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,36
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,37
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,38
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,39
58397,DLN6,A06005134,組織切片針 胖胖針,2,2022-10-07,,,False,40
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,41
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,42
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,43
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,44
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,45
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,46
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,47
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,48
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,49
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,50
58392,DLN6,A06005134,組織切片針 胖胖針,0,2022-01-21,202201.0,T-不計價,True,51
58398,DLN6,A06005134,組織切片針 胖胖針,1,2022-12-26,,,True,52
