,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,1
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,2
58645,DLN6,B00206057,彈性繃帶-非滅菌,1,2022-01-22,,,False,3
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,4
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,5
58646,DLN6,B00206057,彈性繃帶-非滅菌,2,2022-02-07,,,True,6
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,7
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,8
58648,DLN6,B00206057,彈性繃帶-非滅菌,2,2022-03-02,,,True,9
58650,DLN6,B00206057,彈性繃帶-非滅菌,3,2022-03-13,,,False,10
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,11
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,12
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,13
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,14
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,15
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,16
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,17
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,18
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,19
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,20
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,21
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,22
58651,DLN6,B00206057,彈性繃帶-非滅菌,2,2022-06-10,,,True,23
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,24
58652,DLN6,B00206057,彈性繃帶-非滅菌,1,2022-06-26,,,False,25
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,26
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,27
58654,DLN6,B00206057,彈性繃帶-非滅菌,5,2022-07-15,,,True,28
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,29
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,30
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,31
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,32
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,33
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,34
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,35
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,36
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,37
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,38
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,39
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,40
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,41
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,42
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,43
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,44
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,45
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,46
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,47
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,48
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,49
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,50
58644,DLN6,B00206057,彈性繃帶-非滅菌,0,2022-01-01,202201.0,T-不計價,False,51
58656,DLN6,B00206057,彈性繃帶-非滅菌,4,2022-12-29,,,True,52
