,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
58657,DLN6,B00304056,彈性紗捲,1,1,True,2022-01-05,,
58658,DLN6,B00304056,彈性紗捲,1,2,True,2022-01-12,,
58665,DLN6,B00304056,彈性紗捲,10,3,False,2022-01-23,,
58667,DLN6,B00304056,彈性紗捲,2,4,True,2022-01-30,,
58657,DLN6,B00304056,彈性紗捲,0,5,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,6,True,2022-01-05,202201.0,T-不計價
58668,DLN6,B00304056,彈性紗捲,1,7,False,2022-02-19,,
58672,DLN6,B00304056,彈性紗捲,8,8,False,2022-02-27,,
58682,DLN6,B00304056,彈性紗捲,17,9,False,2022-03-06,,
58685,DLN6,B00304056,彈性紗捲,3,10,False,2022-03-12,,
58657,DLN6,B00304056,彈性紗捲,0,11,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,12,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,13,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,14,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,15,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,16,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,17,True,2022-01-05,202201.0,T-不計價
58690,DLN6,B00304056,彈性紗捲,5,18,True,2022-05-07,,
58694,DLN6,B00304056,彈性紗捲,5,19,False,2022-05-15,,
58696,DLN6,B00304056,彈性紗捲,3,20,True,2022-05-19,,
58657,DLN6,B00304056,彈性紗捲,0,21,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,22,True,2022-01-05,202201.0,T-不計價
58697,DLN6,B00304056,彈性紗捲,1,23,False,2022-06-12,,
58698,DLN6,B00304056,彈性紗捲,1,24,True,2022-06-16,,
58657,DLN6,B00304056,彈性紗捲,0,25,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,26,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,27,True,2022-01-05,202201.0,T-不計價
58699,DLN6,B00304056,彈性紗捲,1,28,True,2022-07-14,,
58700,DLN6,B00304056,彈性紗捲,1,29,False,2022-07-24,,
58704,DLN6,B00304056,彈性紗捲,8,30,False,2022-07-30,,
58707,DLN6,B00304056,彈性紗捲,3,31,False,2022-08-06,,
58709,DLN6,B00304056,彈性紗捲,2,32,True,2022-08-12,,
58657,DLN6,B00304056,彈性紗捲,0,33,True,2022-01-05,202201.0,T-不計價
58710,DLN6,B00304056,彈性紗捲,1,34,True,2022-08-22,,
58657,DLN6,B00304056,彈性紗捲,0,35,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,36,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,37,True,2022-01-05,202201.0,T-不計價
58712,DLN6,B00304056,彈性紗捲,2,38,True,2022-09-20,,
58713,DLN6,B00304056,彈性紗捲,1,39,False,2022-10-01,,
58715,DLN6,B00304056,彈性紗捲,2,40,True,2022-10-08,,
58716,DLN6,B00304056,彈性紗捲,5,41,False,2022-10-15,,
58657,DLN6,B00304056,彈性紗捲,0,42,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,43,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,44,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,45,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,46,True,2022-01-05,202201.0,T-不計價
58717,DLN6,B00304056,彈性紗捲,2,47,True,2022-11-22,,
58718,DLN6,B00304056,彈性紗捲,1,48,False,2022-12-04,,
58721,DLN6,B00304056,彈性紗捲,4,49,False,2022-12-11,,
58657,DLN6,B00304056,彈性紗捲,0,50,True,2022-01-05,202201.0,T-不計價
58657,DLN6,B00304056,彈性紗捲,0,51,True,2022-01-05,202201.0,T-不計價
58722,DLN6,B00304056,彈性紗捲,1,52,True,2022-12-29,,
